Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
6,Exacerbations,H3122,Acute exacerbation of chronic obstructive airways disease,In the last four years,Code recorded in the last year
6,Exacerbations,H3y0,Chronic obstruct pulmonary dis with acute lower resp infectn,In the last four years,Code recorded in the last year
6,Exacerbations,H3y1,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",In the last four years,Code recorded in the last year
6,Exacerbations,66Yf,Number of COPD exacerbations in past year,In the last four years,Code recorded in the last year
6,Antibiotics,e9,MACROLIDES,In the last four years,Code recorded in the last year
6,Antibiotics,e91,ERYTHROMYCIN,In the last four years,Code recorded in the last year
6,Antibiotics,e911,ERYTHROMYCIN 250mg e/c tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e912,ERYTHROMYCIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e913,ERYTHROMYCIN STEARATE 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e914,ERYTHROMYCIN STEARATE 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e915,ARPIMYCIN 125mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e916,ARPIMYCIN 250mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e917,ARPIMYCIN 500mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e918,ERYCEN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e919,ERYCEN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91A,ERYTHROPED FORTE granules 500mg/sachet,In the last four years,Code recorded in the last year
6,Antibiotics,e91B,ERYTHROPED P.I. granules 125mg/sachet,In the last four years,Code recorded in the last year
6,Antibiotics,e91C,ERYTHROPED P.I. 125mg/5mL sugar free suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e91D,ERYTHROPED 250mg/5mL sugar free suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e91E,ERYTHROMYCIN 125mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91F,ERYTHROMYCIN 250mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91G,ROMMIX-125 suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91H,ROMMIX-250 tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91I,KERYMAX 250mg e/c granules in capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91J,ROMMIX-500 tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91K,ERYTHROCIN 1g intravenous infusion,In the last four years,Code recorded in the last year
6,Antibiotics,e91L,ERYTHROMYCIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91M,ERYTHROMYCIN 125mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91N,ERYTHROMYCIN 250mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91P,ERYTHROMYCIN 500mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91Q,ERYTHROMYCIN 1g/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91R,ERYTHROMYCIN 500mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91S,TILORYTH 250mg e/c granules in capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91T,ERYMIN 250mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91U,ARPIMYCIN 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91V,ARPIMYCIN 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91W,ARPIMYCIN 500mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91X,ERYTHROMYCIN 250mg e/c granules in capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91Y,ERYTHROPED FORTE SF 500mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91Z,PRIMACINE 125mg/5mL suspension 100mL,In the last four years,Code recorded in the last year
6,Antibiotics,e91a,ERYMAX 250mg e/c granules in capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91b,ERYTHROCIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91c,ERYTHROCIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91d,ERYTHROMYCIN LACTOBION 1g intravenous injection,In the last four years,Code recorded in the last year
6,Antibiotics,e91e,ERYTHROLAR 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91f,ERYTHROLAR 500mg tablets,In the last four years,Code recorded in the last year
