Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
7,Oxygen saturation,44Y9,Blood oxygen saturation (calculated),In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA,Blood oxygen saturation,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA0,Oxygen saturation at periphery,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA1,Peripheral blood oxygen saturation on room air at rest,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA2,Peripheral blood oxygen saturation on room air on exertion,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA3,Peripheral blood oxygen saturation supplmentl oxygen at rest,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA4,Peripheral bld ox saturation on supplemental ox on exertion,In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YA5,Baseline SpO2 (oxygen saturation at periphery),In the last four years,Code recorded in the last two years
7,Oxygen saturation,44YF,"Blood gases, capillary measurement",In the last four years,Code recorded in the last two years
7,Oxygen assessment,389A,Assessment for home oxygen therapy,In the last four years,Code recorded in the last two years
7,Oxygen assessment,66Yn,Oxygen therapy initial assessment,In the last four years,Code recorded in the last two years
7,Oxygen assessment,66Yo,Oxygen therapy follow up assessment,In the last four years,Code recorded in the last two years
7,Oxygen assessment,6AJ,Home oxygen therapy review,In the last four years,Code recorded in the last two years
7,Oxygen assessment,745E1,Long term oxygen assessment,In the last four years,Code recorded in the last two years
7,Oxygen assessment,745E2,Ambulatory oxygen assessment,In the last four years,Code recorded in the last two years
7,Oxygen assessment,8HHx,Referred for assessment of need for oxygen therapy,In the last four years,Code recorded in the last two years
7,Oxygen assessment,8Hke,Referral to home oxygen service,In the last four years,Code recorded in the last two years
7,Oxygen assessment,8I6b,Referral for long-term oxygen therapy assessmt not indicated,In the last four years,Code recorded in the last two years
7,Oxygen therapy, 877,Oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8774,Oxygenator therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8775,High concentration oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8776,LTOT - Long-term oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8777,SBOT - Short-burst oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8778,Ambulatory oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,87,Oxygen enrichment therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,877,Oxygen enrichment therapy NOS,In the last four years,Code recorded in the last six months
7,Oxygen therapy, 66Y,Oxygen therapy initial assessment,In the last four years,Code recorded in the last six months
7,Oxygen therapy,389,Assessment for home oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,66Y,Oxygen therapy follow up assessment,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8HH,Referred for assessment of need for oxygen therapy,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8I6,Referral for long-term oxygen therapy assessmt not indicated,In the last four years,Code recorded in the last six months
7,Oxygen therapy,745E,Long term oxygen assessment,In the last four years,Code recorded in the last six months
7,Oxygen therapy,745E,Ambulatory oxygen assessment,In the last four years,Code recorded in the last six months
7,Oxygen therapy,8Hk,Referral to home oxygen service,In the last four years,Code recorded in the last six months
7,Oxygen therapy,6A,Home oxygen therapy review,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc,OXYGEN & EQUIPMENT,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc1,OXYGEN SETS,In the last four years,Code recorded in the last six months
