Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
9,Influenza immunisation exceptions,68NE,No consent - influenza imm.,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,68NE0,No consent for seasonal influenza vaccination,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,14LJ,H/O: influenza vaccine allergy,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,8I2F,Influenza vaccination contraindicated,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,8I2F0,Seasonal influenza vaccination contraindicated,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,U60K4,[X]Influenza vaccine causing adverse effects therapeutic use,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,ZV14F,[V]Personal history of influenza vaccine allergy,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,68NE,No consent - influenza imm.,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,68NE0,No consent for seasonal influenza vaccination,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX5,Influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX51,Seasonal influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX52,First intranasal influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX53,Second intranasal influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX54,First intranasal seasonal influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,9OX56,Second intranasal seasonal influenza vaccination declined,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,14LJ,H/O: influenza vaccine allergy,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,U60K4,[X]Influenza vaccine causing adverse effects therapeutic use,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation exceptions,ZV14F,[V]Personal history of influenza vaccine allergy,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65E20,Seasonal influenza vaccin given by other healthcare provider,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65E21,First intranasal seasonal flu vacc gvn by othr hlthcare prov,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65E22,Secnd intranasal seasonal flu vacc gvn by othr hlthcare prov,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED,Seasonal influenza vaccination,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED0,Seasonal influenza vaccination given by pharmacist,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED1,Administration of first intranasal seasonal influenza vacc,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED2,Seasonal influenza vaccination given while hospital inpt,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED3,Administration of second intranasal seasonal influenza vacc,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED4,Administration of first inactivated seasonal influenza vacc,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,65ED5,Administration of second inactivated seasonal influenza vacc,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47,INFLUENZA VACCINES,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n471,FLUVIRIN prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n472,INFLUVAC SUB-UNIT prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n473,INFLUVAC SUB-UNIT prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n474,INFLUVAC SUB-UNIT vials 5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n475,INFLUVAC SUB-UNIT vials 25mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n476,MFV-JECT prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n477,INACTIVATED INFLUENZA VACCINE injection 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n478,INACTIVATED INFLUENZA VACCINE prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n479,INFLUENZA VACCINE vials 5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47C,PREFLUCEL suspension for injection prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47D,FLUENZ nasal suspension 0.2mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47E,INFLUENZA VACCINE (LIVE ATTENUATED) nasal suspension 0.2mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47F,OPTAFLU suspension for injection prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47G,INFLUVAC DESU suspension for injection prefill syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47H,FLUARIX TETRA suspension for injection prefill syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47I,FLUENZ TETRA nasal spray suspension 0.2mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47a,INFLUENZA VACCINE vials 25mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47b,FLUZONE prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47c,FLUZONE vials 5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47d,FLUARIX VACCINE prefilled syringe,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47e,BEGRIVAC VACCINE prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47f,AGRIPPAL VACCINE prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47g,INACT INFLUENZA VACC (SPLIT VIRION) prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47h,INACT INFLUENZA VAC(SURFACE ANTIGEN SUB-UNIT) syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47i,INFLEXAL BERNA V prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47j,MASTAFLU prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47k,INFLEXAL V prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47l,INVIVAC prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47m,ENZIRA prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47n,VIROFLU prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47o,IMUVAC prefilled syringe 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47p,INTANZA 15micrograms/strain susp for inj pfs 0.1mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47q,INACT INFLUENZA VACC (SPLIT VIRION) 15mcg/strain pfs 0.1mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47u,INTANZA 9micrograms/strain susp for inj pfs 0.1mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47v,INACT INFLUENZA VACC (SPLIT VIRION) 9mcg/strain pfs 0.1mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47y,INACT INFLUENZA VACC (SPLIT VIRION) prefilled syringe 0.25mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
9,Influenza immunisation,n47z,INACT INFLUENZA VACC (SURFACE ANTIGEN VIROSOME) syr 0.5mL,All codes between 1 August 2015 and 31 March 2017,Presence of code between 1 August 2015 and 31 March 2017
