Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
10,Smoking cessation,13p0,Negotiated date for cessation of smoking,In the last four years,Presence of code in the last two years
10,Smoking cessation,13p5,Smoking cessation programme start date,In the last four years,Presence of code in the last two years
10,Smoking cessation,13p50,Practice based smoking cessation programme start date,In the last four years,Presence of code in the last two years
10,Smoking cessation,67H6,Brief intervention for smoking cessation,In the last four years,Presence of code in the last two years
10,Smoking cessation,8CAL,Smoking cessation advice,In the last four years,Presence of code in the last two years
10,Smoking cessation,8CAg,Smoking cessation advice provided by community pharmacist,In the last four years,Presence of code in the last two years
10,Smoking cessation,8H7i,Referral to smoking cessation advisor,In the last four years,Presence of code in the last two years
10,Smoking cessation,8HTK,Referral to stop-smoking clinic,In the last four years,Presence of code in the last two years
10,Smoking cessation,8HkQ,Referral to NHS stop smoking service,In the last four years,Presence of code in the last two years
10,Smoking cessation,8T08,Referral to smoking cessation service,In the last four years,Presence of code in the last two years
10,Smoking cessation,9N2k,Seen by smoking cessation advisor,In the last four years,Presence of code in the last two years
10,Smoking cessation,9NS02,Referral for smoking cessation service offered,In the last four years,Presence of code in the last two years
10,Smoking cessation,9Ndf,Consent given for follow-up by smoking cessation team,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3,NICOTINE,In the last four years,Presence of code in the last two years
10,Smoking cessation,du31,NICOTINE 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du32,NICOTINE 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du33,NICORETTE 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du34,NICORETTE 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du35,NICOTINELL TTS 10 patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du36,NICOTINELL TTS 20 patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du37,NICOTINELL TTS 30 patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du38,NICOTINE 7mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du39,NICOTINE 14mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3A,NICOTINE 21mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3B,NICORETTE 5mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3C,NICORETTE 10mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3D,NICORETTE 15mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3E,NICORETTE 15mg patches x28,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3F,NICOTINE 5mg/16hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3G,NICOTINE 10mg/16hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3H,NICOTINE 15mg/16hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3I,NIQUITIN CQ 2mg original lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3J,NICABATE 7mg patches x14,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3K,NICABATE 14mg patches x14,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3L,NICABATE 21mg patches x14,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3M,NICABATE 7mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3N,NICABATE 14mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3O,NIQUITIN CQ 7mg/24hours clear patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3P,NICABATE 21mg patches x7,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3Q,NICORETTE 15mg patches x3,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3R,NICONIL-11 patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3S,NICONIL-22 patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3T,NICOTINE 11mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3U,NICOTINE 22mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3V,NICORETTE 2mg mint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3W,NICORETTE MINT PLUS 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3X,NICOTINE 2mg mint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3Y,NICOTINE 4mg mint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3Z,NICONIL 22 starter pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3a,NICORETTE nasal spray,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3b,NICOTINE 10mg/mL nasal spray,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3c,NICOTINELL ORIGINAL 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3d,NICOTINELL MINT 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3e,NICOTINE 10mg inhalator starter pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3f,NICOTINE 10mg inhalator refill pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3g,NICORETTE 10mg inhalator starter pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3h,NICORETTE 10mg inhalator refill pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3i,NICOTINELL ORIGINAL 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3j,NICOTINELL MINT 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3k,NIQUITIN CQ 7mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3l,NIQUITIN CQ 14mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3m,NIQUITIN CQ 21mg/24hours patches,In the last four years,Presence of code in the last two years
