Comorbidity,Read V2 5B code,Read term
Anxiety,16ZB1,Feeling low or worried
Anxiety,1B1,General nervous symptoms
Anxiety,1B12,Tension - nervous
Anxiety,1B13,Anxiousness
Anxiety,1B1P0,Cries easily
Anxiety,1B1V,C/O - panic attack
Anxiety,1B1Z,General nervous symptom NOS
Anxiety,1BK,Worried
Anxiety,2255,O/E - afraid
Anxiety,2258,O/E - anxious
Anxiety,2259,O/E - nervous
Anxiety,225J,O/E - panic attack
Anxiety,225K,O/E - fearful mood
Anxiety,8HHp,Referral for guided self-help for anxiety
Anxiety,E200,Anxiety states
Anxiety,E2000,Anxiety state unspecified
Anxiety,E2001,Panic disorder
Anxiety,E2002,Generalised anxiety disorder
Anxiety,E2003,Anxiety with depression
Anxiety,E2004,Chronic anxiety
Anxiety,E2005,Recurrent anxiety
Anxiety,E200z,Anxiety state NOS
Anxiety,E2021,Agoraphobia with panic attacks
Anxiety,E2022,Agoraphobia without mention of panic attacks
Anxiety,E202D,Fear of death
Anxiety,E205,Nervous exhaustion
Anxiety,E20z,Nervous breakdown
Anxiety,E280,Acute panic state due to acute stress reaction
Anxiety,E2920,Separation anxiety disorder
Anxiety,E2924,Adjustment reaction with anxious mood
Anxiety,Eu400,[X]Panic disorder with agoraphobia
Anxiety,Eu40z,"[X]Phobic anxiety disorder, unspecified"
Anxiety,Eu41,[X]Other anxiety disorders
Anxiety,Eu410,[X]Panic disorder [episodic paroxysmal anxiety]
Anxiety,Eu411,[X]Generalized anxiety disorder
Anxiety,Eu412,[X]Mixed anxiety and depressive disorder
Anxiety,Eu413,[X]Other mixed anxiety disorders
Anxiety,Eu41y,[X]Other specified anxiety disorders
Anxiety,Eu41z,"[X]Anxiety disorder, unspecified"
Anxiety,Eu515,[X]Dream anxiety disorder
Anxiety,Eu606,[X]Anxious [avoidant] personality disorder
Anxiety,R2y2,[D]Nervousness
Anxiety resolved,2126J,Anxiety Resolved
