Comorbidity,Read V2 5B code,Read term
Coronary heart disease,14A5,h/o: angina pectoris
Coronary heart disease,14AJ,h/o: angina in last year
Coronary heart disease,182,chest pain
Coronary heart disease,1822,central chest pain
Coronary heart disease,182A,chest pain on exertion
Coronary heart disease,182Z,chest pain nos
Coronary heart disease,187,frequency of angina
Coronary heart disease,32131,Positive exercise ECG test
Coronary heart disease,3222,ECG:shows myocardial ischaemia
Coronary heart disease,322Z,ECG: myocardial ischaemia NOS
Coronary heart disease,32E4,ECG: S-T depression
Coronary heart disease,3889,euroscore for angina
Coronary heart disease,388E,canadian cardiovascular society classification of angina
Coronary heart disease,388F,cardiovascular limitations and symptoms profile angina score
Coronary heart disease,5543,Coronary arteriograph.abnormal
Coronary heart disease,5C11,Radionuclide heart study abnormal
Coronary heart disease,661M0,angina self-management plan agreed
Coronary heart disease,661N0,angina self-management plan review
Coronary heart disease,662K,angina control
Coronary heart disease,662K0,angina control - good
Coronary heart disease,662K1,angina control - poor
Coronary heart disease,662K2,angina control - improving
Coronary heart disease,662K3,angina control - worsening
Coronary heart disease,662Kz,angina control nos
Coronary heart disease,792,Coronary artery bypass graft operations
Coronary heart disease,7920,Saphenous vein graft bypass of coronary artery
Coronary heart disease,79200,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,79201,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,79202,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,79203,Saphenous vein graft replacement of four+ coronary arteries
Coronary heart disease,7920y,Saphenous vein graft replacement of coronary artery OS
Coronary heart disease,7920z,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,7921,Other autograft replacement of coronary artery
Coronary heart disease,79210,Autograft replacement of one coronary artery NEC
Coronary heart disease,79211,Autograft replacement of two coronary arteries NEC
Coronary heart disease,79212,Autograft replacement of three coronary arteries NEC
Coronary heart disease,79213,Autograft replacement of four of more coronary arteries NEC
Coronary heart disease,7921y,Other autograft replacement of coronary artery OS
Coronary heart disease,7921z,Other autograft replacement of coronary artery NOS
Coronary heart disease,7922,Allograft replacement of coronary artery
Coronary heart disease,79220,Allograft replacement of one coronary artery
Coronary heart disease,79221,Allograft replacement of two coronary arteries
Coronary heart disease,79222,Allograft replacement of three coronary arteries
Coronary heart disease,79223,Allograft replacement of four or more coronary arteries
Coronary heart disease,7922y,Other specified allograft replacement of coronary artery
Coronary heart disease,7922z,Allograft replacement of coronary artery NOS
Coronary heart disease,7923,Prosthetic replacement of coronary artery
Coronary heart disease,79230,Prosthetic replacement of one coronary artery
Coronary heart disease,79231,Prosthetic replacement of two coronary arteries
Coronary heart disease,79232,Prosthetic replacement of three coronary arteries
Coronary heart disease,79233,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,7923z,Prosthetic replacement of coronary artery NOS
Coronary heart disease,7924,Revision of bypass for coronary artery
Coronary heart disease,79240,Revision of bypass for one coronary artery
Coronary heart disease,79241,Revision of bypass for two coronary arteries
Coronary heart disease,79242,Revision of bypass for three coronary arteries
Coronary heart disease,7924y,Other specified revision of bypass for coronary artery
Coronary heart disease,7924z,Revision of bypass for coronary artery NOS
Coronary heart disease,7925,Creation of bypass from mammary artery to coronary artery
Coronary heart disease,79250,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,79251,Double implant of mammary arteries into coronary arteries
Coronary heart disease,79253,LIMA single anastomosis
Coronary heart disease,79254,Single implantation of mammary artery into coronary artery
Coronary heart disease,7925y,Connection of mammary artery to coronary artery OS
Coronary heart disease,7925z,Connection of mammary artery to coronary artery NOS
Coronary heart disease,7926,Connection of other thoracic artery to coronary artery
Coronary heart disease,79260,Double anastom thoracic arteries to coronary arteries NEC
Coronary heart disease,79262,Single anastomosis of thoracic artery to coronary artery NEC
