Comorbidity,Read V2 5B code,Read term
Depression,E2B,Depressive disorder NEC
Depression,E2003,Anxiety with depression
Depression,E135,Agitated depression
Depression,E204,Neurotic depression reactive type
Depression,E290,Brief depressive reaction
Depression,62T1,Puerperal depression
Depression,Eu32z,"[X]Depressive episode, unspecified"
Depression,E2B0,Postviral depression
Depression,Eu33,[X]Recurrent depressive disorder
Depression,E2B1,Chronic depression
Depression,Eu32,[X]Depressive episode
Depression,E1137,Recurrent depression
Depression,Eu32y,[X]Other depressive episodes
Depression,E112z,Single major depressive episode NOS
Depression,Eu341,[X]Dysthymia
Depression,E130,Reactive depressive psychosis
Depression,E11z2,Masked depression
Depression,Eu321,[X]Moderate depressive episode
Depression,Eu322,[X]Severe depressive episode without psychotic symptoms
Depression,E2112,Depressive personality disorder
Depression,E112,Single major depressive episode
Depression,Eu324,[X]Mild depression
Depression,E118,Seasonal affective disorder
Depression,Eu251,"[X]Schizoaffective disorder, depressive type"
Depression,Eu320,[X]Mild depressive episode
Depression,Eu412,[X]Mixed anxiety and depressive disorder
Depression,Eu323,[X]Severe depressive episode with psychotic symptoms
Depression,9H91,Depression medication review
Depression,9H90,Depression annual review
Depression,E1132,"Recurrent major depressive episodes, moderate"
Depression,E113,Recurrent major depressive episode
Depression,E1122,"Single major depressive episode, moderate"
Depression,E1123,"Single major depressive episode, severe, without psychosis"
Depression,E1121,"Single major depressive episode, mild"
Depression,E291,Prolonged depressive reaction
Depression,Eu204,[X]Post-schizophrenic depression
Depression,E0021,Senile dementia with depression
Depression,E1134,"Recurrent major depressive episodes, severe, with psychosis"
Depression,E113z,Recurrent major depressive episode NOS
Depression,E1133,"Recurrent major depressive episodes, severe, no psychosis"
Depression,E11y2,Atypical depressive disorder
Depression,E0013,Presenile dementia with depression
Depression,E1131,"Recurrent major depressive episodes, mild"
Depression,Eu331,"[X]Recurrent depressive disorder, current episode moderate"
Depression,Eu330,"[X]Recurrent depressive disorder, current episode mild"
Depression,9H92,Depression interim review
Depression,E1124,"Single major depressive episode, severe, with psychosis"
Depression,Eu332,[X]Recurr depress disorder cur epi severe without psyc sympt
Depression,E1120,"Single major depressive episode, unspecified"
Depression,E1130,"Recurrent major depressive episodes, unspecified"
Depression,E290z,Brief depressive reaction NOS
Depression,E002z,Senile dementia with depressive or paranoid features NOS
Depression,E0043,Arteriosclerotic dementia with depression
Depression,Eu33z,"[X]Recurrent depressive disorder, unspecified"
Depression,E002,Senile dementia with depressive or paranoid features
Depression,8BK0,Depression management programme
Depression,Eu333,[X]Recurrent depress disorder cur epi severe with psyc symp
Depression,Eu33y,[X]Other recurrent depressive disorders
Depression,Eu326,"[X]Major depression, moderately severe"
Depression,Eu325,"[X]Major depression, mild"
Depression,Eu327,"[X]Major depression, severe without psychotic symptoms"
Depression,Eu328,"[X]Major depression, severe with psychotic symptoms"
Depression resolved,212S,Depressions Resolved
