Comorbidity,Read V2 5B code,Read term
Diabetes,1I0,Diabetes mellitus excluded
Diabetes,66A3,Diabetic on diet only
Diabetes,66A4,Diabetic on oral treatment
Diabetes,66A5,Diabetic on insulin
Diabetes,66A8,Has seen dietician - diabetes
Diabetes,66A9,Understands diet - diabetes
Diabetes,66AA,Injection sites - diabetic
Diabetes,66Ab,Diabetic foot examination
Diabetes,66Ac,Diabetic peripheral neuropathy screening
Diabetes,66AD,Fundoscopy - diabetic check
Diabetes,66AG,Diabetic drug side effects
Diabetes,66AH,Diabetic treatment changed
Diabetes,66AI,Diabetic - good control
Diabetes,66AJ,Diabetic - poor control
Diabetes,66AJ1,Brittle diabetes
Diabetes,66AJz,Diabetic - poor control NOS
Diabetes,66AK,Diabetic - cooperative patient
Diabetes,66AL,Diabetic-uncooperative patient
Diabetes,66Am,Insulin dose changed
Diabetes,66An,Diabetes type 1 review
Diabetes,66Ao,Diabetes type 2 review
Diabetes,66AP,Diabetes: practice programme
Diabetes,66AQ,Diabetes: shared care programme
Diabetes,66AR,Diabetes management plan given
Diabetes,66AS,Diabetic annual review
Diabetes,66AT,Annual diabetic blood test
Diabetes,66AU,Diabetes care by hospital only
Diabetes,66AV,Diabetic on insulin and oral treatment
Diabetes,66AW,Diabetic foot risk assessment
Diabetes,66AX,Diabetes: shared care in pregnancy - diabetol and obstet
Diabetes,66AY,Diabetic diet - good compliance
Diabetes,68A7,Diabetic retinopathy screening
Diabetes,68A9,Diabetic retinopathy screening offered
Diabetes,68AB,Diabetic digital retinopathy screening offered
Diabetes,7276,Pan retinal photocoagulation for diabetes
Diabetes,7L100,Continuous subcutaneous infusion of insulin
Diabetes,7L198,Subcutaneous injection of insulin
Diabetes,889A,Diab mellit insulin-glucose infus acute myocardial infarct
Diabetes,8A13,Diabetic stabilisation
Diabetes,8B3l,Diabetes medication review
Diabetes,8BL2,Patient on maximal tolerated therapy for diabetes
Diabetes,8CA41,Pt advised re diabetic diet
Diabetes,8CAQ,Advice about blood glucose control
Diabetes,8CP2,Transition of diabetes care options discussed
Diabetes,8H2J,Admit diabetic emergency
Diabetes,8H3O,Non-urgent diabetic admission
Diabetes,8H7r,Refer to diabetic foot screener
Diabetes,8HBG,Diabetic retinopathy 12 month review
Diabetes,8HBH,Diabetic retinopathy 6 month review
Diabetes,8Hl1,Referral for diabetic retinopathy screening
Diabetes,8HLE,Diabetology D.V. done
Diabetes,8I3k,Insulin therapy declined
Diabetes,8I3W,Diabetic foot examination declined
Diabetes,8I3X,Diabetic retinopathy screening refused
Diabetes,8I57,Patient held diabetic record declined
Diabetes,9360,Patient held diabetic record issued
Diabetes,9OLD,Diabetic patient unsuitable for digital retinal photography
Diabetes,C10,Diabetes mellitus
Diabetes,C100,Diabetes mellitus with no mention of complication
Diabetes,C1000,"Diabetes mellitus, juvenile type, no mention of complication"
Diabetes,C1001,"Diabetes mellitus, adult onset, no mention of complication"
Diabetes,C100z,Diabetes mellitus NOS with no mention of complication
Diabetes,C101,Diabetes mellitus with ketoacidosis
Diabetes,C1010,"Diabetes mellitus, juvenile type, with ketoacidosis"
Diabetes,C1011,"Diabetes mellitus, adult onset, with ketoacidosis"
Diabetes,C101y,Other specified diabetes mellitus with ketoacidosis
Diabetes,C101z,Diabetes mellitus NOS with ketoacidosis
Diabetes,C102,Diabetes mellitus with hyperosmolar coma
Diabetes,C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
Diabetes,C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma"
Diabetes,C102z,Diabetes mellitus NOS with hyperosmolar coma
Diabetes,C103,Diabetes mellitus with ketoacidotic coma
Diabetes,C1030,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
Diabetes,C1031,"Diabetes mellitus, adult onset, with ketoacidotic coma"
Diabetes,C103y,Other specified diabetes mellitus with coma
Diabetes,C103z,Diabetes mellitus NOS with ketoacidotic coma
Diabetes,C104,Diabetes mellitus with renal manifestation
Diabetes,C1040,"Diabetes mellitus, juvenile type, with renal manifestation"
Diabetes,C1041,"Diabetes mellitus, adult onset, with renal manifestation"
Diabetes,C104y,Other specified diabetes mellitus with renal complications
Diabetes,C104z,Diabetes mellitis with nephropathy NOS
Diabetes,C105,Diabetes mellitus with ophthalmic manifestation
Diabetes,C1050,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
