Comorbidity,Read V2 5B code,Read term
Hypertension,6627,Good hypertension control
Hypertension,6628,Poor hypertension control
Hypertension,6629,Hypertension:follow-up default
Hypertension,662,Hypertension monitoring
Hypertension,662b,Moderate hypertension control
Hypertension,662c,Hypertension six month review
Hypertension,662d,Hypertension annual review
Hypertension,662F,Hypertension treatm. started
Hypertension,662G,Hypertensive treatm.changed
Hypertension,662H,Hypertension treatm.stopped
Hypertension,662O,On treatment for hypertension
Hypertension,662P,Hypertension monitoring
Hypertension,662r,Trial withdrawal of antihypertensive therapy
Hypertension,7Q01,High cost hypertension drugs
Hypertension,8B26,Antihypertensive therapy
Hypertension,8BL0,Patient on maximal tolerated antihypertensive therapy
Hypertension,8CR4,Hypertension clinical management plan
Hypertension,8I3N,Hypertension treatment refused
Hypertension,9h3,Exception reporting: hypertension quality indicators
Hypertension,9h31,Excepted from hypertension qual indicators: Patient unsuit
Hypertension,9h32,Excepted from hypertension qual indicators: Informed dissent
Hypertension,9N03,Seen in hypertension clinic
Hypertension,9N1y2,Seen in hypertension clinic
Hypertension,9OI,Hypertension monitoring admin.
Hypertension,9OI1,Attends hypertension monitor.
Hypertension,9OI2,Refuses hypertension monitor.
Hypertension,9OI3,Hyperten.monitor offer default
Hypertension,9OI4,Hypertens.monitor.1st letter
Hypertension,9OI5,Hypertens.monitor 2nd letter
Hypertension,9OI6,Hypertens.monitor 3rd letter
Hypertension,9OI7,Hypertens.monitor verbal inv.
Hypertension,9OI8,Hypertens.monitor phone invite
Hypertension,9OIA,Hypertension monitor.chck done
Hypertension,9OIZ,Hypertens.monitoring admin.NOS
Hypertension,F4042,Blind hypertensive eye
Hypertension,F4213,Hypertensive retinopathy
Hypertension,G2,Hypertensive disease
Hypertension,G20,Essential hypertension
Hypertension,G200,Malignant essential hypertension
Hypertension,G201,Benign essential hypertension
Hypertension,G202,Systolic hypertension
Hypertension,G203,Diastolic hypertension
Hypertension,G20z,Essential hypertension NOS
Hypertension,G21,Hypertensive heart disease
Hypertension,G210,Malignant hypertensive heart disease
Hypertension,G2100,Malignant hypertensive heart disease without CCF
Hypertension,G2101,Malignant hypertensive heart disease with CCF
Hypertension,G211,Benign hypertensive heart disease
Hypertension,G2110,Benign hypertensive heart disease without CCF
Hypertension,G2111,Benign hypertensive heart disease with CCF
Hypertension,G21z,Hypertensive heart disease NOS
Hypertension,G21z0,Hypertensive heart disease NOS without CCF
Hypertension,G21z1,Hypertensive heart disease NOS with CCF
Hypertension,G21zz,Hypertensive heart disease NOS
Hypertension,G22,Hypertensive renal disease
Hypertension,G220,Malignant hypertensive renal disease
Hypertension,G221,Benign hypertensive renal disease
Hypertension,G222,Hypertensive renal disease with renal failure
Hypertension,G22z,Hypertensive renal disease NOS
Hypertension,G23,Hypertensive heart and renal disease
Hypertension,G230,Malignant hypertensive heart and renal disease
Hypertension,G231,Benign hypertensive heart and renal disease
Hypertension,G232,Hypertensive heart&renal dis wth (congestive) heart failure
Hypertension,G233,Hypertensive heart and renal disease with renal failure
Hypertension,G234,Hyperten heart&renal dis+both(congestv)heart and renal fail
Hypertension,G23z,Hypertensive heart and renal disease NOS
Hypertension,G24,Secondary hypertension
Hypertension,G240,Secondary malignant hypertension
Hypertension,G2400,Secondary malignant renovascular hypertension
Hypertension,G240z,Secondary malignant hypertension NOS
Hypertension,G241,Secondary benign hypertension
Hypertension,G2410,Secondary benign renovascular hypertension
Hypertension,G241z,Secondary benign hypertension NOS
Hypertension,G244,Hypertension secondary to endocrine disorders
Hypertension,G24z,Secondary hypertension NOS
Hypertension,G24z0,Secondary renovascular hypertension NOS
Hypertension,G24z1,Hypertension secondary to drug
Hypertension,G24zz,Secondary hypertension NOS
Hypertension,G2y,Other specified hypertensive disease
Hypertension,G2z,Hypertensive disease NOS
Hypertension,G672,Hypertensive encephalopathy
Hypertension,Gyu2,[X]Hypertensive diseases
Hypertension,Gyu21,[X]Hypertension secondary to other renal disorders
Hypertension resolved,21261,Hypertension Resolved
Hypertension resolved,212K.,Hypertension Resolved
