Comorbidity,Read V2 5B code,Read term
Lung cancer,B22,"MALIGNANT NEOPLASM OF TRACHEA, BRONCHUS AND LUNG"
Lung cancer,B221,MALIGNANT NEOPLASM OF MAIN BRONCHUS
Lung cancer,B2210,MALIGNANT NEOPLASM OF CARINA OF BRONCHUS
Lung cancer,B2211,MALIGNANT NEOPLASM OF HILUS OF LUNG
Lung cancer,B221z,MALIGNANT NEOPLASM OF MAIN BRONCHUS NOS
Lung cancer,B222,"MALIGNANT NEOPLASM OF UPPER LOBE, BRONCHUS OR LUNG"
Lung cancer,B2220,MALIGNANT NEOPLASM OF UPPER LOBE BRONCHUS
Lung cancer,B2221,MALIGNANT NEOPLASM OF UPPER LOBE OF LUNG
Lung cancer,B222z,"MALIGNANT NEOPLASM OF UPPER LOBE, BRONCHUS OR LUNG NOS"
Lung cancer,B223,"MALIGNANT NEOPLASM OF MIDDLE LOBE, BRONCHUS OR LUNG"
Lung cancer,B2230,MALIGNANT NEOPLASM OF MIDDLE LOBE BRONCHUS
Lung cancer,B2231,MALIGNANT NEOPLASM OF MIDDLE LOBE OF LUNG
Lung cancer,B223z,"MALIGNANT NEOPLASM OF MIDDLE LOBE, BRONCHUS OR LUNG NOS"
Lung cancer,B224,"MALIGNANT NEOPLASM OF LOWER LOBE, BRONCHUS OR LUNG"
Lung cancer,B2240,MALIGNANT NEOPLASM OF LOWER LOBE BRONCHUS
Lung cancer,B2241,MALIGNANT NEOPLASM OF LOWER LOBE OF LUNG
Lung cancer,B224z,"MALIGNANT NEOPLASM OF LOWER LOBE, BRONCHUS OR LUNG NOS"
Lung cancer,B225,MALIGNANT NEOPLASM OF OVERLAPPING LESION OF BRONCHUS & LUNG
Lung cancer,B22y,MALIGNANT NEOPLASM OF OTHER SITES OF BRONCHUS OR LUNG
Lung cancer,B22z,LUNG CANCER
Lung cancer,BB1K,[M]OAT CELL CARCINOMA
Lung cancer,BB1L,"[M]SMALL CELL CARCINOMA, FUSIFORM CELL TYPE"
Lung cancer,BB1M,"[M]SMALL CELL CARCINOMA, INTERMEDIATE CELL"
Lung cancer,BB1N,[M]SMALL CELL-LARGE CELL CARCINOMA
Lung cancer,BB5J,[M]CYLINDROID BRONCHIAL ADENOMA
Lung cancer,BB5R1,[M]CARCINOID BRONCHIAL ADENOMA
Lung cancer,BB5S2,[M]ALVEOLAR CELL CARCINOMA
Lung cancer,BB5S4,[M]ALVEOLAR ADENOCARCINOMA
Lung cancer,BBLA,[M]PNEUMOBLASTOMA
Lung cancer,BBLM,[M]PULMONARY BLASTOMA
Lung cancer,Byu20,"[X]MALIGNANT NEOPLASM OF BRONCHUS OR LUNG, UNSPECIFIED"
