Comorbidity,Read V2 5B code,Read term
Painful condition meds,d712 ,AMITRIPTYLINE 25mg tablets
Painful condition meds,d713 ,AMITRIPTYLINE 50mg tablets
Painful condition meds,d71h ,AMITRIPTYLINE 25mg/5mL sugar free solution
Painful condition meds,d71i ,AMITRIPTYLINE 50mg/5mL sugar free solution
Painful condition meds,dn3 ,CARBAMAZEPINE
Painful condition meds,dn31 ,CARBAMAZEPINE 100mg tablets
Painful condition meds,dn32 ,CARBAMAZEPINE 200mg tablets
Painful condition meds,dn33 ,CARBAMAZEPINE 400mg tablets
Painful condition meds,dn34 ,TEGRETOL 100mg tablets
Painful condition meds,dn35 ,TEGRETOL 200mg tablets
Painful condition meds,dn36 ,TEGRETOL 400mg tablets
Painful condition meds,dn37 ,TEGRETOL 100mg/5mL sugar free liquid
Painful condition meds,dn38 ,TEGRETOL RETARD 200mg m/r tabs
Painful condition meds,dn39 ,TEGRETOL RETARD 400mg m/r tabs
Painful condition meds,dn3A ,EPIMAZ 100mg tablets
Painful condition meds,dn3B ,EPIMAZ 200mg tablets
Painful condition meds,dn3C ,EPIMAZ 400mg tablets
Painful condition meds,dn3D ,TEGRETOL 125mg suppositories
Painful condition meds,dn3E ,TEGRETOL 250mg suppositories
Painful condition meds,dn3F ,TIMONIL RETARD 200mg m/r tablets
Painful condition meds,dn3G ,TIMONIL RETARD 400mg m/r tablets
Painful condition meds,dn3H ,TERIL CR 200mg m/r tablets
Painful condition meds,dn3I ,TERIL CR 400mg m/r tablets
Painful condition meds,dn3J ,CARBAGEN SR 200mg m/r tablets
Painful condition meds,dn3K ,CARBAGEN SR 400mg m/r tablets
Painful condition meds,dn3a ,CARBAMAZEPINE 200mg m/r tabs
Painful condition meds,dn3b ,CARBAMAZEPINE 400mg m/r tabs
Painful condition meds,dn3c ,TEGRETOL 100mg chewable tablets
Painful condition meds,dn3d ,TEGRETOL 200mg chewable tablets
Painful condition meds,dn3e ,ARBIL MR 200mg m/r tablets
Painful condition meds,dn3f ,ARBIL MR 400mg m/r tablets
Painful condition meds,dn3v ,CARBAMAZEPINE 125mg suppositories
Painful condition meds,dn3w ,CARBAMAZEPINE 250mg suppositories
Painful condition meds,dn3x ,CARBAMAZEPINE 200mg chewable tablets
Painful condition meds,dn3y ,CARBAMAZEPINE 100mg chewable tablets
Painful condition meds,dn3z ,CARBAMAZEPINE 100mg/5mL sugar free liquid
Painful condition meds,dn8 ,PHENYTOIN
Painful condition meds,dn81 ,EPANUTIN 30mg/5mL suspension
Painful condition meds,dn82 ,EPANUTIN 50mg Infatabs
Painful condition meds,dn83 ,PHENYTOIN 50mg chewable tablets
Painful condition meds,dn8y ,PHENYTOIN 30mg/5mL suspension
Painful condition meds,dn8z ,PHENYTOIN 90mg/5mL sugar free suspension
Painful condition meds,dn9 ,PHENYTOIN SODIUM
Painful condition meds,dn91 ,PHENYTOIN 50mg tablets
Painful condition meds,dn92 ,PHENYTOIN 100mg tablets
Painful condition meds,dn93 ,EPANUTIN 25mg capsules
Painful condition meds,dn94 ,EPANUTIN 50mg capsules
Painful condition meds,dn95 ,EPANUTIN 100mg capsules
Painful condition meds,dn96 ,EPANUTIN 300mg capsules
Painful condition meds,dn97 ,PENTRAN 50mg tablets
Painful condition meds,dn98 ,PENTRAN 100mg tablets
Painful condition meds,dn9w ,PHENYTOIN SODIUM 300mg capsules
Painful condition meds,dn9x ,PHENYTOIN SODIUM 25mg caps
Painful condition meds,dn9y ,PHENYTOIN SODIUM 50mg capsules
Painful condition meds,dn9z ,PHENYTOIN SODIUM 100mg capsules
Painful condition meds,dnj ,GABAPENTIN
Painful condition meds,dnj1 ,GABAPENTIN 100mg capsules
Painful condition meds,dnj2 ,GABAPENTIN 300mg capsules
Painful condition meds,dnj3 ,GABAPENTIN 400mg capsules
Painful condition meds,dnj4 ,NEURONTIN 100mg capsules
Painful condition meds,dnj5 ,NEURONTIN 300mg capsules
Painful condition meds,dnj6 ,NEURONTIN 400mg capsules
Painful condition meds,dnj7 ,NEURONTIN 600mg tablets
Painful condition meds,dnj8 ,NEURONTIN 800mg tablets
Painful condition meds,dnj9 ,NEURONTIN 300mg capsules/600mg tablets titration pack
Painful condition meds,dnjA ,GABAPENTIN 50mg/mL oral solution
Painful condition meds,dnjx ,GABAPENTIN 300mg capsules/600mg tablets titration pack
Painful condition meds,dnjy ,GABAPENTIN 600mg tablets
Painful condition meds,dnjz ,GABAPENTIN 800mg tablets
Painful condition meds,dnk ,TOPIRAMATE
Painful condition meds,dnk1 ,TOPIRAMATE 50mg tablets
Painful condition meds,dnk2 ,TOPIRAMATE 100mg tablets
Painful condition meds,dnk3 ,TOPIRAMATE 200mg tablets
Painful condition meds,dnk4 ,TOPAMAX 50mg tablets
Painful condition meds,dnk5 ,TOPAMAX 100mg tablets
Painful condition meds,dnk6 ,TOPAMAX 200mg tablets
Painful condition meds,dnk7 ,TOPIRAMATE 25mg tablets
Painful condition meds,dnk8 ,TOPAMAX 25mg tablets
Painful condition meds,dnk9 ,TOPIRAMATE 15mg beads in capsules
Painful condition meds,dnkA ,TOPIRAMATE 25mg beads in capsules
Painful condition meds,dnkB ,TOPAMAX SPRINKLE 15mg capsules
Painful condition meds,dnkC ,TOPAMAX SPRINKLE 25mg capsules
Painful condition meds,dnkD ,TOPIRAMATE 50mg beads in capsules
Painful condition meds,dnkE ,TOPAMAX SPRINKLE 50mg capsules
Painful condition meds,dnp ,PREGABALIN
Painful condition meds,dnp1 ,LYRICA 25mg capsules
Painful condition meds,dnp2 ,LYRICA 50mg capsules
Painful condition meds,dnp3 ,LYRICA 75mg capsules
Painful condition meds,dnp4 ,LYRICA 100mg capsules
Painful condition meds,dnp5 ,LYRICA 150mg capsules
Painful condition meds,dnp6 ,LYRICA 200mg capsules
Painful condition meds,dnp7 ,LYRICA 300mg capsules
Painful condition meds,dnp8 ,LYRICA 225mg capsules
Painful condition meds,dnp9 ,LYRICA 20mg/1mL oral solution
Painful condition meds,dnpA ,LECAENT 25mg capsules
Painful condition meds,dnpB ,LECAENT 50mg capsules
Painful condition meds,dnpC ,LECAENT 75mg capsules
Painful condition meds,dnpD ,LECAENT 100mg capsules
Painful condition meds,dnpE ,LECAENT 150mg capsules
Painful condition meds,dnpF ,LECAENT 200mg capsules
Painful condition meds,dnpG ,LECAENT 225mg capsules
Painful condition meds,dnpH ,LECAENT 300mg capsules
Painful condition meds,dnpI ,REWISCA 25mg capsules
Painful condition meds,dnpJ ,REWISCA 50mg capsules
Painful condition meds,dnpK ,REWISCA 75mg capsules
Painful condition meds,dnpL ,REWISCA 100mg capsules
Painful condition meds,dnpM ,REWISCA 150mg capsules
Painful condition meds,dnpN ,REWISCA 200mg capsules
Painful condition meds,dnpO ,REWISCA 225mg capsules
Painful condition meds,dnpP ,REWISCA 300mg capsules
Painful condition meds,dnpr ,PREGABALIN 20mg/1mL oral solution
Painful condition meds,dnps ,PREGABALIN 225mg capsules
Painful condition meds,dnpt ,PREGABALIN 300mg capsules
Painful condition meds,dnpu ,PREGABALIN 200mg capsules
Painful condition meds,dnpv ,PREGABALIN 100mg capsules
Painful condition meds,dnpw ,PREGABALIN 150mg capsules
Painful condition meds,dnpx ,PREGABALIN 75mg capsules
Painful condition meds,dnpy ,PREGABALIN 50mg capsules
Painful condition meds,dnpz ,PREGABALIN 25mg capsules
Painful condition meds,j22 ,DICLOFENAC SODIUM
Painful condition meds,j221 ,VOLTAROL 25mg tablets
Painful condition meds,j222 ,VOLTAROL 50mg tablets
Painful condition meds,j223 ,VOLTAROL 75mg/3mL injection
Painful condition meds,j224 ,VOLTAROL 100mg suppositories
Painful condition meds,j225 ,VOLTAROL 12.5mg paediatric suppositories
Painful condition meds,j226 ,VOLTAROL RETARD 100mg m/r tablets
Painful condition meds,j227 ,RHUMALGAN 25mg e/c tablets
Painful condition meds,j228 ,RHUMALGAN 50mg e/c tablets
Painful condition meds,j229 ,DICLOFENAC 75mg/3mL injection
Painful condition meds,j22A ,FLAMRASE SR 100mg m/r tablets
Painful condition meds,j22B ,MOTIFENE 75mg e/c+m/r capsules
Painful condition meds,j22C ,DICLOFENAC SODIUM 75mg m/r capsules
Painful condition meds,j22D ,VOLTAROL 25mg suppositories
Painful condition meds,j22E ,VOLTAROL 50mg suppositories
Painful condition meds,j22F ,DICLOFENAC SODIUM 25mg suppositories
Painful condition meds,j22G ,DICLOFENAC SODIUM 50mg suppositories
Painful condition meds,j22H ,DICLOMAX SR 75mg m/r capsules
Painful condition meds,j22I ,DICLOFLEX 25mg e/c tablets
Painful condition meds,j22J ,DICLOFLEX 50mg e/c tablets
Painful condition meds,j22K ,DICLOFLEX RETARD 100mg m/r tablets
Painful condition meds,j22L ,LOFENSAID-25 tablets
Painful condition meds,j22M ,LOFENSAID-50 tablets
Painful condition meds,j22N ,RHUMALGAN CR 100mg m/r tablets
Painful condition meds,j22O ,RHUMALGAN CR 75mg m/r tablets
Painful condition meds,j22P ,VOLSAID RETARD 75mg m/r tablets
Painful condition meds,j22Q ,VOLSAID RETARD 100mg m/r tablets
Painful condition meds,j22R ,DICLOFENAC 75mg e/c+m/r capsules
Painful condition meds,j22S ,LOFENSAID RETARD 75 m/r tablets
Painful condition meds,j22T ,LOFENSAID RETARD 100 m/r tablets
Painful condition meds,j22U ,SLOFENAC SR 100mg m/r tablets
Painful condition meds,j22V ,SLOFENAC SR 75mg m/r tablets
Painful condition meds,j22W ,DIGENAC XL 100 m/r tablets
Painful condition meds,j22X ,FLEXOTARD 100mg m/r tablets
Painful condition meds,j22Y ,DICLOTARD 75 m/r tablets
Painful condition meds,j22Z ,DICLOTARD 100 m/r tablets
Painful condition meds,j22a ,DICLOFENAC 100mg suppositories
Painful condition meds,j22b ,DICLOFENAC 12.5mg paediatric suppositories
Painful condition meds,j22c ,DICLOFENAC 100mg m/r tablets
Painful condition meds,j22d ,DICLOFENAC 25mg e/c tablets
Painful condition meds,j22e ,DICLOFENAC 50mg e/c tablets
Painful condition meds,j22f ,VOLRAMAN 25mg tablets
Painful condition meds,j22g ,VOLRAMAN 50mg tablets
Painful condition meds,j22h ,VOLTAROL 50mg dispersible tablets
Painful condition meds,j22i ,DICLOFENAC 50mg dispersible tablets
Painful condition meds,j22j ,VALENAC 25mg e/c tablets
Painful condition meds,j22k ,VALENAC 50mg e/c tablets
Painful condition meds,j22l ,DICLOZIP 25mg tablets
Painful condition meds,j22m ,DICLOZIP 50mg tablets
Painful condition meds,j22n ,VOLTAROL SR 75mg m/r tablets
Painful condition meds,j22o ,ARTHROTEC 50 tablets
Painful condition meds,j22p ,DICLOFENAC SODIUM+MISOPROSTOL 50mg/200micrograms tablets
Painful condition meds,j22q ,DICLOMAX RETARD 100mg m/r capsules
Painful condition meds,j22r ,DICLOFENAC 100mg m/r capsules
Painful condition meds,j22s ,ISCLOFEN 50mg e/c tablets
Painful condition meds,j22t ,DICLOFENAC SODIUM+MISOPROSTOL 75mg/200micrograms tablets
Painful condition meds,j22u ,DICLOFENAC SODIUM 25mg tablets
Painful condition meds,j22v ,DICLOFENAC SODIUM 50mg tablets
Painful condition meds,j22w ,FLAMRASE 25mg tablets
Painful condition meds,j22x ,FLAMRASE 50mg tablets
Painful condition meds,j22y ,DICLOFENAC SODIUM 75mg m/r tablets
Painful condition meds,j22z ,ARTHROTEC 75 tablets
Painful condition meds,j24 ,ETODOLAC
Painful condition meds,j241 ,LODINE 200mg capsules
Painful condition meds,j242 ,RAMODAR 200mg tablets
Painful condition meds,j243 ,ETODOLAC 200mg capsules
Painful condition meds,j244 ,LODINE 300mg capsules
Painful condition meds,j245 ,LODINE 200mg tablets
Painful condition meds,j246 ,ETODOLAC 200mg tablets
Painful condition meds,j247 ,ETODOLAC 300mg capsules
Painful condition meds,j248 ,LODINE SR 600mg m/r tablets
Painful condition meds,j249 ,ETODOLAC 600mg m/r tablets
Painful condition meds,j24A ,EBRETIN 200mg capsules
Painful condition meds,j24B ,EBRETIN 300mg capsules
Painful condition meds,j24C ,ECCOXOLAC 300mg capsules
Painful condition meds,j24D ,ETOPAN XL 600mg m/r tablets
Painful condition meds,j24E ,ETOLYN 600mg m/r tablets
Painful condition meds,j28 ,IBUPROFEN [MUSCULOSKELETAL USE]
Painful condition meds,j281 ,IBUPROFEN 200mg tablets
Painful condition meds,j282 ,IBUPROFEN 400mg tablets
Painful condition meds,j283 ,IBUPROFEN 600mg tablets
Painful condition meds,j284 ,APSIFEN 200mg tablets
