Comorbidity,Read V2 5B code,Read term
Severe mental illness,E0,Organic psychotic conditions
Severe mental illness,E00,Senile and presenile organic psychotic conditions
Severe mental illness,E000,Uncomplicated senile dementia
Severe mental illness,E001,Presenile dementia
Severe mental illness,E0010,Uncomplicated presenile dementia
Severe mental illness,E0011,Presenile dementia with delirium
Severe mental illness,E0012,Presenile dementia with paranoia
Severe mental illness,E0013,Presenile dementia with depression
Severe mental illness,E001z,Presenile dementia NOS
Severe mental illness,E002,Senile dementia with depressive or paranoid features
Severe mental illness,E0020,Senile dementia with paranoia
Severe mental illness,E0021,Senile dementia with depression
Severe mental illness,E002z,Senile dementia with depressive or paranoid features NOS
Severe mental illness,E003,Senile dementia with delirium
Severe mental illness,E004,Arteriosclerotic dementia
Severe mental illness,E0040,Uncomplicated arteriosclerotic dementia
Severe mental illness,E0041,Arteriosclerotic dementia with delirium
Severe mental illness,E0042,Arteriosclerotic dementia with paranoia
Severe mental illness,E0043,Arteriosclerotic dementia with depression
Severe mental illness,E004z,Arteriosclerotic dementia NOS
Severe mental illness,E00y,Other senile and presenile organic psychoses
Severe mental illness,E00z,Senile or presenile psychoses NOS
Severe mental illness,E01,Alcoholic psychoses
Severe mental illness,E010,Alcohol withdrawal delirium
Severe mental illness,E011,Alcohol amnestic syndrome
Severe mental illness,E0110,Korsakov's alcoholic psychosis
Severe mental illness,E0111,Korsakov's alcoholic psychosis with peripheral neuritis
Severe mental illness,E0112,Wernicke-Korsakov syndrome
Severe mental illness,E011z,Alcohol amnestic syndrome NOS
Severe mental illness,E012,Other alcoholic dementia
Severe mental illness,E0120,Chronic alcoholic brain syndrome
Severe mental illness,E013,Alcohol withdrawal hallucinosis
Severe mental illness,E014,Pathological alcohol intoxication
Severe mental illness,E015,Alcoholic paranoia
Severe mental illness,E01y,Other alcoholic psychosis
Severe mental illness,E01y0,Alcohol withdrawal syndrome
Severe mental illness,E01yz,Other alcoholic psychosis NOS
Severe mental illness,E01z,Alcoholic psychosis NOS
Severe mental illness,E02,Drug psychoses
Severe mental illness,E020,Drug withdrawal syndrome
Severe mental illness,E021,Drug-induced paranoia or hallucinatory states
Severe mental illness,E0210,Drug-induced paranoid state
Severe mental illness,E0211,Drug-induced hallucinosis
Severe mental illness,E021z,Drug-induced paranoia or hallucinatory state NOS
Severe mental illness,E022,Pathological drug intoxication
Severe mental illness,E023,Nicotine withdrawal
Severe mental illness,E02y,Other drug psychoses
Severe mental illness,E02y0,Drug-induced delirium
Severe mental illness,E02y1,Drug-induced dementia
Severe mental illness,E02y2,Drug-induced amnestic syndrome
Severe mental illness,E02y3,Drug-induced depressive state
Severe mental illness,E02y4,Drug-induced personality disorder
Severe mental illness,E02yz,Other drug psychoses NOS
Severe mental illness,E02z,Drug psychosis NOS
Severe mental illness,E03,Transient organic psychoses
Severe mental illness,E030,Acute confusional state
Severe mental illness,E0300,"Acute confusional state, post traumatic"
Severe mental illness,E0301,"Acute confusional state, of infective origin"
Severe mental illness,E0302,"Acute confusional state, of endocrine origin"
Severe mental illness,E0303,"Acute confusional state, of metabolic origin"
Severe mental illness,E0304,"Acute confusional state, of cerebrovascular origin"
Severe mental illness,E030z,Acute confusional state NOS
Severe mental illness,E031,Subacute confusional state
Severe mental illness,E0310,"Subacute confusional state, post traumatic"
Severe mental illness,E0311,"Subacute confusional state, of infective origin"
Severe mental illness,E0312,"Subacute confusional state, of endocrine origin"
Severe mental illness,E0313,"Subacute confusional state, of metabolic origin"
Severe mental illness,E0314,"Subacute confusional state, of cerebrovascular origin"
Severe mental illness,E031z,Subacute confusional state NOS
Severe mental illness,E03y,Other transient organic psychoses
Severe mental illness,E03y0,Organic delusional syndrome
Severe mental illness,E03y1,Organic hallucinosis syndrome
Severe mental illness,E03y2,Organic affective syndrome
Severe mental illness,E03y3,Unspecified puerperal psychosis
Severe mental illness,E03yz,Other transient organic psychoses NOS
Severe mental illness,E03z,Transient organic psychoses NOS
Severe mental illness,E04,Other chronic organic psychoses
Severe mental illness,E040,Non-alcoholic amnestic syndrome
Severe mental illness,E041,Dementia in conditions EC
Severe mental illness,E042,Chronic confusional state
Severe mental illness,E04y,Other specified chronic organic psychoses
Severe mental illness,E04z,Chronic organic psychosis NOS
Severe mental illness,E0y,Other specified organic psychoses
Severe mental illness,E0z,Organic psychoses NOS
Severe mental illness,E1,Non-organic psychoses
Severe mental illness,E10,Schizophrenic disorders
Severe mental illness,E100,Simple schizophrenia
Severe mental illness,E1000,Unspecified schizophrenia
Severe mental illness,E1001,Subchronic schizophrenia
Severe mental illness,E1002,Chronic schizophrenic
Severe mental illness,E1003,Acute exacerbation of subchronic schizophrenia
Severe mental illness,E1004,Acute exacerbation of chronic schizophrenia
