Audit query,Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
6,Exacerbations,Antibiotics,24288,!0247101,AMOXIL,,00000000
6,Exacerbations,Antibiotics,19593,!0247105,AMOXIL PAED 125MG IN 1.25ML,,00000000
6,Exacerbations,Antibiotics,26519,!0247107,AMOXIL,,00000000
6,Exacerbations,Antibiotics,29061,!0247301,AMOXIL SF,,00000000
6,Exacerbations,Antibiotics,32505,!0248101,AMOXYCILLIN,,00000000
6,Exacerbations,Antibiotics,31571,!0248107,AMOXYCILLIN,,00000000
6,Exacerbations,Antibiotics,27886,!0249101,AMOXYCILLIN 250/CLAVULANIC ACID 125 DISP,,00000000
6,Exacerbations,Antibiotics,19795,!0249102,AMOXYCILLIN 250MG/CLAVULANIC ACID 125MG,,00000000
6,Exacerbations,Antibiotics,22469,!0249103,AMOXYCILLIN 125mg/31mg CLAVULANIC ACID,,00000000
6,Exacerbations,Antibiotics,25034,!0249104,AMOXYCILLIN 125mg/62mg CLAVULANIC ACID,,00000000
6,Exacerbations,Antibiotics,27897,!0249401,AMOXYCILLIN,,00000000
6,Exacerbations,Antibiotics,22482,!0251101,AMPICILLIN,,00000000
6,Exacerbations,Antibiotics,19585,!0253101,AMPICILLIN 250MG/FLUCLOXACILLIN 250MG,,00000000
6,Exacerbations,Antibiotics,22544,!0253104,AMPICILLIN 125MG/FLUCLOXACILLIN 125MG,,00000000
6,Exacerbations,Antibiotics,22293,!0256001,AMOXYCILLIN TRIHYDRATE SACHET,,00000000
6,Exacerbations,Antibiotics,21982,!0256002,AMOXYCILLIN TRIHYDRATE SACHET,,00000000
6,Exacerbations,Antibiotics,26658,!0415101,AUGMENTIN DISPERSIBLE 250/125,,00000000
6,Exacerbations,Antibiotics,26669,!2265501,ERYMAX,,00000000
6,Exacerbations,Antibiotics,19692,!2268109,ERYTHROCIN 250,,00000000
6,Exacerbations,Antibiotics,19652,!2275101,ERYTHROPED,,00000000
6,Exacerbations,Antibiotics,19615,!2276101,ERYTHROPED FORTE 500mg/5ml,,00000000
6,Exacerbations,Antibiotics,23243,!2277101,ERYTHROPED P.I.,,00000000
6,Exacerbations,Antibiotics,23185,!2277501,ERYTHROPED SUGAR FREE SACHET,,00000000
6,Exacerbations,Antibiotics,22194,!4320101,MAGNAPEN,,00000000
6,Exacerbations,Antibiotics,24300,!5476106,PENBRITIN PAED. 125MG IN 1.25ML,,00000000
6,Exacerbations,Antibiotics,22118,!5681101,PIVAMPICILLIN 175mg/5ml,,00000000
6,Exacerbations,Antibiotics,24974,!5681503,PIVAMPICILLIN 250MG/PIVMECILLINAM 200MG,,00000000
6,Exacerbations,Antibiotics,19555,!5728101,PONDOCILLIN 175mg/5ml,,00000000
6,Exacerbations,Antibiotics,23586,!5728102,PONDOCILLIN,,00000000
6,Exacerbations,Antibiotics,23607,!5728103,PONDOCILLIN SACHET,,00000000
6,Exacerbations,Antibiotics,25016,!7655101,VIBRAMYCIN,,00000000
6,Exacerbations,Antibiotics,32669,!8504110,ZITHROMAX,,00000000
6,Exacerbations,Antibiotics,23719,!8505353,CO-FLUAMPICIL,,00000000
6,Exacerbations,Antibiotics,7581,00163007,AMOXYCILLIN 125MG/62MG CLAVULANIC ACID SYR,,00000000
6,Exacerbations,Antibiotics,14988,00206007,AMPICLOX MG INJ,,00000000
6,Exacerbations,Antibiotics,1570,00256007,AMOXYCILLIN 500 MG TAB,,00000000
6,Exacerbations,Antibiotics,21071,02081007,PONDOCILLIN sach 175 MG,,00000000
6,Exacerbations,Antibiotics,22632,02618007,ERYTHROCIN B-PACK 10 FILMTABS 500 MG TAB,,00000000
6,Exacerbations,Antibiotics,2304,02619007,ERYTHROCIN 250 250 MG TAB,,00000000
