Audit query,Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
9,Influenza immunisation,,23251,!2660102,FLUVIRIN PRE-FILLED SYRINGE,,00000000
9,Influenza immunisation,,44759,!3450102,INFLUENZA PRE-FILLED SYRINGE,,00000000
9,Influenza immunisation,,19684,!3452101,INFLUVAC DISPOSABLE SYRINGE,,00000000
9,Influenza immunisation,,24676,!4301102,MFV-JECT PRE-FILLED SYRINGE,,00000000
9,Influenza immunisation,,51289,00782021,Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose,Influenza virus live attenuated,00000000
9,Influenza immunisation,,47932,00784021,Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),Influenza virus live attenuated,00000000
9,Influenza immunisation,,7951,04970007,FLUVIRIN AQUEOUS ML VAC,,00000000
9,Influenza immunisation,,48658,09659020,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)",Influenza virus split virion,14040200
9,Influenza immunisation,,61898,09660020,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (A A H Pharmaceuticals Ltd)",Influenza virus split virion,14040200
9,Influenza immunisation,,48740,09661020,"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",Influenza virus surface antigens,14040200
9,Influenza immunisation,,63690,09662020,Inflexal V suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd),Influenza virus surface antigens,00000000
9,Influenza immunisation,,51087,09664020,Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),Influenza virus surface antigens,14040200
9,Influenza immunisation,,57401,16804021,Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd),Influenza virus surface antigens,14040200
9,Influenza immunisation,,57917,17228021,Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),Influenza virus split virion,14040200
9,Influenza immunisation,,61580,21610020,"Influenza vaccine (split virion, inactivated) suspension for injection 0.25ml pre-filled syringes",Influenza virus split virion,00000000
9,Influenza immunisation,,49716,28167020,"Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes",Influenza virus surface antigens virosome,14040200
9,Influenza immunisation,,61792,31222021,Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),Influenza virus live attenuated,14040200
9,Influenza immunisation,,57140,38939020,Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose,Influenza virus live attenuated,14040200
9,Influenza immunisation,,57678,38940020,Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),Influenza virus live attenuated,14040200
