Audit query,Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
10,Smoking cessation drug,Nicotine,30086,!8505007,NICORETTE MICROTAB,,00000000
10,Smoking cessation drug,Nicotine,46588,00239021,Nicotinell Icemint 2mg medicated chewing gum (Novartis Consumer Health UK Ltd),Nicotine,04105100
10,Smoking cessation drug,Nicotine,46701,00241021,Nicotinell Icemint 4mg medicated chewing gum (Novartis Consumer Health UK Ltd),Nicotine,04105100
10,Smoking cessation drug,Nicotine,46717,00333021,Nicotine 15mg inhalation cartridges with device,Nicotine,04105100
10,Smoking cessation drug,Nicotine,46592,00335021,Nicorette 15mg Inhalator (McNeil Products Ltd),Nicotine,04105100
10,Smoking cessation drug,Nicotine,14558,03069007,NICONIL PATCH 15 MG,,00000000
10,Smoking cessation drug,Nicotine,12488,03075007,NICONIL PATCH 30 MG,,00000000
10,Smoking cessation drug,Nicotine,14556,03130007,TRANSDERMAL NICOTINE PATCH 10 MG,,00000000
10,Smoking cessation drug,Nicotine,8534,03131007,TRANSDERMAL NICOTINE PATCH 5 MG,,00000000
10,Smoking cessation drug,Nicotine,8297,03154007,NICOTINE TRANSDERMAL PATCH 20CM,,00000000
10,Smoking cessation drug,Nicotine,116,03155007,NICOTINE TRANSDERMAL PATCH 30CM,,00000000
10,Smoking cessation drug,Nicotine,50487,05395020,NiQuitin Clear 14mg patches (Waymade Healthcare Plc),Nicotine,04105100
10,Smoking cessation drug,Nicotine,49088,05397020,NiQuitin Clear 21mg patches (Waymade Healthcare Plc),Nicotine,04105100
10,Smoking cessation drug,Nicotine,58675,05398020,Boots NicAssist 5mg patches (The Boots Company Plc),Nicotine,04105100
10,Smoking cessation drug,Nicotine,57417,05399020,Nicorette 5mg patches (Waymade Healthcare Plc),Nicotine,04105100
10,Smoking cessation drug,Nicotine,60236,05400020,Boots NicAssist 10mg patches (The Boots Company Plc),Nicotine,04105100
