Audit query,Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
12,Inhaled therapy,ICS,20763,!0576601,BECLOFORTE,,00000000
12,Inhaled therapy,ICS,22225,!0578301,BECLOMETHASONE /SALBUTAMOL,,00000000
12,Inhaled therapy,ICS,19563,!0584101,BECOTIDE FOR NEBULISER,,00000000
12,Inhaled therapy,ICS,24219,!0584103,BECOTIDE ROTACAPS,,00000000
12,Inhaled therapy,ICS,19736,!0584104,BECOTIDE SUSP FOR NEBULISATION,,00000000
12,Inhaled therapy,ICS,20707,!0584401,BECOTIDE 100,,00000000
12,Inhaled therapy,ICS,27525,!0584601,BECOTIDE 50,,00000000
12,Inhaled therapy,ICS,24660,!0686401,BETAMETHASONE VALERATE,,00000000
12,Inhaled therapy,ICS,27915,!2659617,FLUTICASONE PROP DISK REFILL,,00000000
12,Inhaled therapy,ICS,26665,!5938601,PULMICORT COMPLETE,,00000000
12,Inhaled therapy,ICS,20812,!5938605,PULMICORT REFILL,,00000000
12,Inhaled therapy,ICS,27583,!5938606,PULMICORT,,00000000
12,Inhaled therapy,ICS,23675,!5938702,PULMICORT L.S. REFIL,,00000000
12,Inhaled therapy,ICS,36253,!8503874,BECLOMETHASONE EXTRAFINE PARTICLE CFC FR,,00000000
12,Inhaled therapy,ICS,17726,!8503875,QVAR CFC FREE,,00000000
12,Inhaled therapy,ICS,17691,!8503876,QVAR CFC FREE,,00000000
12,Inhaled therapy,ICS,17800,!8503879,BECLOMETHASONE EXTRAFINE PARTICLE B/A,,00000000
12,Inhaled therapy,ICS,17695,!8503881,QVAR AUTOHALER,,00000000
12,Inhaled therapy,ICS,17702,!8503882,QVAR AUTOHALER,,00000000
12,Inhaled therapy,ICS,32664,!8504284,BECLAZONE 200,,00000000
12,Inhaled therapy,ICS,56462,02818020,Becodisks 400microgram (Waymade Healthcare Plc),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,67265,02826020,Becodisks 200microgram (Lexon (UK) Ltd),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,56471,02827020,Becodisks 200microgram (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,57589,02831020,Becloforte 250micrograms/dose inhaler (Dowelhurst Ltd),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,62341,02839020,Becotide 50 inhaler (Dowelhurst Ltd),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,67234,02845020,Becotide 100 inhaler (Waymade Healthcare Plc),Beclometasone dipropionate,03020000
12,Inhaled therapy,ICS,67322,02850020,Pulmicort 100 Turbohaler (Waymade Healthcare Plc),Budesonide,03020000
12,Inhaled therapy,ICS,71427,02852020,Budesonide 100micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,56498,02858020,Pulmicort 200 Turbohaler (Waymade Healthcare Plc),Budesonide,03020000
12,Inhaled therapy,ICS,60937,02859020,Pulmicort 200 Turbohaler (Dowelhurst Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,71345,02860020,Budesonide 200micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,71338,02861020,Pulmicort 200 Turbohaler (DE Pharmaceuticals),Budesonide,03020000
12,Inhaled therapy,ICS,71368,02863020,Pulmicort 200 Turbohaler (Lexon (UK) Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,67315,02866020,Budesonide 400micrograms/dose Turbohaler (Waymade Healthcare Plc),Budesonide,03020000
12,Inhaled therapy,ICS,67239,02867020,Pulmicort 400 Turbohaler (Waymade Healthcare Plc),Budesonide,03020000
12,Inhaled therapy,ICS,70749,02869020,Budesonide 400micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,71347,02871020,Pulmicort 400 Turbohaler (Sigma Pharmaceuticals Plc),Budesonide,03020000
12,Inhaled therapy,ICS,49711,02876020,Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd),Budesonide,03020000
12,Inhaled therapy,ICS,56475,02895020,Flixotide 50micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc),Fluticasone propionate,03020000
12,Inhaled therapy,ICS,67253,02896020,Flixotide 50micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd),Fluticasone propionate,03020000
12,Inhaled therapy,ICS,57579,02897020,Flixotide 50micrograms/dose Accuhaler (DE Pharmaceuticals),Fluticasone propionate,03020000
12,Inhaled therapy,ICS,56477,02898020,Flixotide 100micrograms/dose Accuhaler (Waymade Healthcare Plc),Fluticasone propionate,03020000
12,Inhaled therapy,ICS,71341,02903020,Flixotide 100micrograms/dose Accuhaler (Necessity Supplies Ltd),Fluticasone propionate,03020000
12,Inhaled therapy,ICS,56484,02904020,Flixotide 250micrograms/dose Accuhaler (Waymade Healthcare Plc),Fluticasone propionate,03020000
