Category,Medcode,Read code,Read V2 5B code,Read term
Coronary heart disease,6336,14A5.00,14A5.,H/O: angina pectoris
Coronary heart disease,57062,14AJ.00,14AJ.,H/O: Angina in last year
Coronary heart disease,374,182..00,182..,Chest pain
Coronary heart disease,7346,1822.00,1822.,Central chest pain
Coronary heart disease,18134,182A.00,182A.,Chest pain on exertion
Coronary heart disease,10370,182Z.00,182Z.,Chest pain NOS
Coronary heart disease,103655,187..00,187..,Frequency of angina
Coronary heart disease,1628,3213100,32131,Exercise ECG abnormal
Coronary heart disease,19827,3213111,32131,Positive exercise ECG test
Coronary heart disease,26973,3222.00,3222.,ECG:shows myocardial ischaemia
Coronary heart disease,35287,322Z.00,322Z.,ECG: myocardial ischaemia NOS
Coronary heart disease,42104,32E4.00,32E4.,ECG: S-T depression
Coronary heart disease,39584,3889.00,3889.,Euroscore for angina
Coronary heart disease,52637,388E.00,388E.,Canadian Cardiovascular Society classification of angina
Coronary heart disease,57962,388F.00,388F.,Cardiovascular Limitations and Symptoms Profile angina score
Coronary heart disease,1021,5543.00,5543.,Coronary arteriograph.abnormal
Coronary heart disease,58135,5C11.00,5C11.,Radionuclide heart study abnormal
Coronary heart disease,107967,661M000,661M0,Angina self-management plan agreed
Coronary heart disease,109391,661N000,661N0,Angina self-management plan review
Coronary heart disease,13185,662K.00,662K.,Angina control
Coronary heart disease,19542,662K000,662K0,Angina control - good
Coronary heart disease,15373,662K100,662K1,Angina control - poor
Coronary heart disease,14782,662K200,662K2,Angina control - improving
Coronary heart disease,29300,662K300,662K3,Angina control - worsening
Coronary heart disease,15349,662Kz00,662Kz,Angina control NOS
Coronary heart disease,5904,792..00,792..,Coronary artery operations
Coronary heart disease,737,792..11,792..,Coronary artery bypass graft operations
Coronary heart disease,18249,7920.00,7920.,Saphenous vein graft replacement of coronary artery
Coronary heart disease,8312,7920.11,7920.,Saphenous vein graft bypass of coronary artery
Coronary heart disease,8679,7920000,79200,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,7634,7920100,79201,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,7442,7920200,79202,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,11610,7920300,79203,Saphenous vein graft replacement of four+ coronary arteries
Coronary heart disease,7137,7920y00,7920y,Saphenous vein graft replacement of coronary artery OS
Coronary heart disease,51515,7920z00,7920z,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,9414,7921.00,7921.,Other autograft replacement of coronary artery
Coronary heart disease,7134,7921.11,7921.,Other autograft bypass of coronary artery
Coronary heart disease,44561,7921000,79210,Autograft replacement of one coronary artery NEC
Coronary heart disease,19413,7921100,79211,Autograft replacement of two coronary arteries NEC
Coronary heart disease,10209,7921200,79212,Autograft replacement of three coronary arteries NEC
Coronary heart disease,42708,7921300,79213,Autograft replacement of four of more coronary arteries NEC
Coronary heart disease,61310,7921y00,7921y,Other autograft replacement of coronary artery OS
Coronary heart disease,7609,7921z00,7921z,Other autograft replacement of coronary artery NOS
Coronary heart disease,31556,7922.00,7922.,Allograft replacement of coronary artery
Coronary heart disease,32651,7922.11,7922.,Allograft bypass of coronary artery
Coronary heart disease,70111,7922000,79220,Allograft replacement of one coronary artery
Coronary heart disease,57241,7922100,79221,Allograft replacement of two coronary arteries
Coronary heart disease,45886,7922200,79222,Allograft replacement of three coronary arteries
Coronary heart disease,45370,7922300,79223,Allograft replacement of four or more coronary arteries
Coronary heart disease,59423,7922y00,7922y,Other specified allograft replacement of coronary artery
Coronary heart disease,48767,7922z00,7922z,Allograft replacement of coronary artery NOS
Coronary heart disease,19402,7923.00,7923.,Prosthetic replacement of coronary artery
Coronary heart disease,36011,7923.11,7923.,Prosthetic bypass of coronary artery
Coronary heart disease,92419,7923000,79230,Prosthetic replacement of one coronary artery
Coronary heart disease,66664,7923100,79231,Prosthetic replacement of two coronary arteries
Coronary heart disease,66236,7923200,79232,Prosthetic replacement of three coronary arteries
Coronary heart disease,67761,7923300,79233,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,19193,7923z00,7923z,Prosthetic replacement of coronary artery NOS
Coronary heart disease,33461,7924.00,7924.,Revision of bypass for coronary artery
Coronary heart disease,52938,7924000,79240,Revision of bypass for one coronary artery
Coronary heart disease,67554,7924100,79241,Revision of bypass for two coronary arteries
Coronary heart disease,31540,7924200,79242,Revision of bypass for three coronary arteries
Coronary heart disease,97953,7924y00,7924y,Other specified revision of bypass for coronary artery
Coronary heart disease,57634,7924z00,7924z,Revision of bypass for coronary artery NOS
Coronary heart disease,37682,7925.00,7925.,Connection of mammary artery to coronary artery
Coronary heart disease,28837,7925.11,7925.,Creation of bypass from mammary artery to coronary artery
Coronary heart disease,33718,7925000,79250,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,48822,7925011,79250,LIMA sequential anastomosis
Coronary heart disease,92233,7925012,79250,RIMA sequential anastomosis
Coronary heart disease,31519,7925100,79251,Double implant of mammary arteries into coronary arteries
Coronary heart disease,51507,7925300,79253,Single anastomosis of mammary artery to coronary artery NEC
Coronary heart disease,22647,7925311,79253,LIMA single anastomosis
Coronary heart disease,68123,7925312,79253,RIMA single anastomosis
Coronary heart disease,68139,7925400,79254,Single implantation of mammary artery into coronary artery
Coronary heart disease,37719,7925y00,7925y,Connection of mammary artery to coronary artery OS
Coronary heart disease,56990,7925z00,7925z,Connection of mammary artery to coronary artery NOS
Coronary heart disease,96804,7926.00,7926.,Connection of other thoracic artery to coronary artery
Coronary heart disease,62608,7926000,79260,Double anastom thoracic arteries to coronary arteries NEC
Coronary heart disease,67591,7926200,79262,Single anastomosis of thoracic artery to coronary artery NEC
Coronary heart disease,60753,7926300,79263,Single implantation thoracic artery into coronary artery NEC
Coronary heart disease,72780,7926z00,7926z,Connection of other thoracic artery to coronary artery NOS
Coronary heart disease,5744,7927500,79275,Open angioplasty of coronary artery
Coronary heart disease,2901,7928.00,7928.,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,5703,7928.11,7928.,Percutaneous balloon coronary angioplasty
