Category,Medcode,Read code,Read V2 5B code,Read term
Depression,2923,62T1.00,62T1.,Puerperal depression
Depression,44848,8BK0.00,8BK0.,Depression management programme
Depression,12399,9H90.00,9H90.,Depression annual review
Depression,12122,9H91.00,9H91.,Depression medication review
Depression,30405,9H92.00,9H92.,Depression interim review
Depression,27677,E001300,E0013,Presenile dementia with depression
Depression,44674,E002.00,E002.,Senile dementia with depressive or paranoid features
Depression,21887,E002100,E0021,Senile dementia with depression
Depression,41089,E002z00,E002z,Senile dementia with depressive or paranoid features NOS
Depression,43292,E004300,E0043,Arteriosclerotic dementia with depression
Depression,10610,E112.00,E112.,Single major depressive episode
Depression,5879,E112.11,E112.,Agitated depression
Depression,6546,E112.12,E112.,Endogenous depression first episode
Depression,6950,E112.13,E112.,Endogenous depression first episode
Depression,595,E112.14,E112.,Endogenous depression
Depression,34390,E112000,E1120,"Single major depressive episode, unspecified"
Depression,16506,E112100,E1121,"Single major depressive episode, mild"
Depression,15155,E112200,E1122,"Single major depressive episode, moderate"
Depression,15219,E112300,E1123,"Single major depressive episode, severe, without psychosis"
Depression,32159,E112400,E1124,"Single major depressive episode, severe, with psychosis"
Depression,7011,E112z00,E112z,Single major depressive episode NOS
Depression,15099,E113.00,E113.,Recurrent major depressive episode
Depression,6932,E113.11,E113.,Endogenous depression - recurrent
Depression,35671,E113000,E1130,"Recurrent major depressive episodes, unspecified"
Depression,29342,E113100,E1131,"Recurrent major depressive episodes, mild"
Depression,14709,E113200,E1132,"Recurrent major depressive episodes, moderate"
Depression,25697,E113300,E1133,"Recurrent major depressive episodes, severe, no psychosis"
Depression,24171,E113400,E1134,"Recurrent major depressive episodes, severe, with psychosis"
Depression,6482,E113700,E1137,Recurrent depression
Depression,25563,E113z00,E113z,Recurrent major depressive episode NOS
Depression,10825,E118.00,E118.,Seasonal affective disorder
Depression,27491,E11y200,E11y2,Atypical depressive disorder
Depression,9183,E11z200,E11z2,Masked depression
Depression,8478,E130.00,E130.,Reactive depressive psychosis
Depression,17770,E130.11,E130.,Psychotic reactive depression
Depression,1055,E135.00,E135.,Agitated depression
Depression,655,E200300,E2003,Anxiety with depression
Depression,1131,E204.00,E204.,Neurotic depression reactive type
Depression,2639,E204.11,E204.,Postnatal depression
Depression,10455,E211200,E2112,Depressive personality disorder
Depression,1533,E290.00,E290.,Brief depressive reaction
Depression,36246,E290z00,E290z,Brief depressive reaction NOS
Depression,16632,E291.00,E291.,Prolonged depressive reaction
Depression,324,E2B..00,E2B..,Depressive disorder NEC
Depression,2972,E2B0.00,E2B0.,Postviral depression
Depression,4323,E2B1.00,E2B1.,Chronic depression
Depression,20785,Eu20400,Eu204,[X]Post-schizophrenic depression
Depression,11055,Eu25100,Eu251,"[X]Schizoaffective disorder, depressive type"
Depression,35274,Eu25111,Eu251,"[X]Schizoaffective psychosis, depressive type"
Depression,41022,Eu25112,Eu251,"[X]Schizophreniform psychosis, depressive type"
Depression,4639,Eu32.00,Eu32.,[X]Depressive episode
Depression,9055,Eu32.11,Eu32.,[X]Single episode of depressive reaction
Depression,18510,Eu32.12,Eu32.,[X]Single episode of psychogenic depression
Depression,7604,Eu32.13,Eu32.,[X]Single episode of reactive depression
Depression,11717,Eu32000,Eu320,[X]Mild depressive episode
Depression,9211,Eu32100,Eu321,[X]Moderate depressive episode
Depression,9667,Eu32200,Eu322,[X]Severe depressive episode without psychotic symptoms
Depression,41989,Eu32211,Eu322,[X]Single episode agitated depressn w'out psychotic symptoms
Depression,22806,Eu32212,Eu322,[X]Single episode major depression w'out psychotic symptoms
Depression,59386,Eu32213,Eu322,[X]Single episode vital depression w'out psychotic symptoms
Depression,12099,Eu32300,Eu323,[X]Severe depressive episode with psychotic symptoms
Depression,24117,Eu32311,Eu323,[X]Single episode of major depression and psychotic symptoms
Depression,52678,Eu32312,Eu323,[X]Single episode of psychogenic depressive psychosis
Depression,24112,Eu32313,Eu323,[X]Single episode of psychotic depression
