Category,Medcode,Read code,Read V2 5B code,Read term
Diabetes,19203,1I0..00,1I0..,Diabetes mellitus excluded
Diabetes,7563,66A3.00,66A3.,Diabetic on diet only
Diabetes,1684,66A4.00,66A4.,Diabetic on oral treatment
Diabetes,8842,66A5.00,66A5.,Diabetic on insulin
Diabetes,13069,66A8.00,66A8.,Has seen dietician - diabetes
Diabetes,38078,66A9.00,66A9.,Understands diet - diabetes
Diabetes,2319,66AA.00,66AA.,Injection sites
Diabetes,20696,66AA.11,66AA.,Injection sites - diabetic
Diabetes,13196,66AD.00,66AD.,Fundoscopy - diabetic check
Diabetes,53238,66AG.00,66AG.,Diabetic drug side effects
Diabetes,16490,66AH.00,66AH.,Diabetic treatment changed
Diabetes,13071,66AI.00,66AI.,Diabetic - good control
Diabetes,2378,66AJ.00,66AJ.,Diabetic - poor control
Diabetes,9013,66AJ.11,66AJ.,Unstable diabetes
Diabetes,2478,66AJ100,66AJ1,Brittle diabetes
Diabetes,22023,66AJz00,66AJz,Diabetic - poor control NOS
Diabetes,43951,66AK.00,66AK.,Diabetic - cooperative patient
Diabetes,17869,66AL.00,66AL.,Diabetic-uncooperative patient
Diabetes,12506,66AP.00,66AP.,Diabetes: practice programme
Diabetes,12675,66AQ.00,66AQ.,Diabetes: shared care programme
Diabetes,8836,66AR.00,66AR.,Diabetes management plan given
Diabetes,6125,66AS.00,66AS.,Diabetic annual review
Diabetes,18167,66AT.00,66AT.,Annual diabetic blood test
Diabetes,12307,66AU.00,66AU.,Diabetes care by hospital only
Diabetes,28769,66AV.00,66AV.,Diabetic on insulin and oral treatment
Diabetes,50175,66AW.00,66AW.,Diabetic foot risk assessment
Diabetes,46577,66AX.00,66AX.,Diabetes: shared care in pregnancy - diabetol and obstet
Diabetes,26604,66AY.00,66AY.,Diabetic diet - good compliance
Diabetes,22823,66Ab.00,66Ab.,Diabetic foot examination
Diabetes,10977,66Ac.00,66Ac.,Diabetic peripheral neuropathy screening
Diabetes,83485,66Am.00,66Am.,Insulin dose changed
Diabetes,85660,66An.00,66An.,Diabetes type 1 review
Diabetes,83532,66Ao.00,66Ao.,Diabetes type 2 review
Diabetes,18311,68A7.00,68A7.,Diabetic retinopathy screening
Diabetes,19739,68A9.00,68A9.,Diabetic retinopathy screening offered
Diabetes,61021,68AB.00,68AB.,Diabetic digital retinopathy screening offered
Diabetes,11599,7276.00,7276.,Pan retinal photocoagulation for diabetes
Diabetes,36798,7L10000,7L100,Continuous subcutaneous infusion of insulin
Diabetes,104254,7L10011,7L100,Subcutaneous infusion with insulin pump
Diabetes,17817,7L19800,7L198,Subcutaneous injection of insulin
Diabetes,61670,889A.00,889A.,Diab mellit insulin-glucose infus acute myocardial infarct
Diabetes,24363,8A13.00,8A13.,Diabetic stabilisation
Diabetes,11471,8B3l.00,8B3l.,Diabetes medication review
Diabetes,12213,8BL2.00,8BL2.,Patient on maximal tolerated therapy for diabetes
Diabetes,8414,8CA4100,8CA41,Pt advised re diabetic diet
Diabetes,12483,8CAQ.00,8CAQ.,Advice about blood glucose control
Diabetes,28856,8CP2.00,8CP2.,Transition of diabetes care options discussed
Diabetes,7059,8H2J.00,8H2J.,Admit diabetic emergency
