Category,Medcode,Read code,Read V2 5B code,Read term
Heart failure,9913,1O1..00,1O1..,Heart failure confirmed
Heart failure,11284,585f.00,585f.,Echocardiogram shows left ventricular systolic dysfunction
Heart failure,11351,585g.00,585g.,Echocardiogram shows left ventricular diastolic dysfunction
Heart failure,106198,661M500,661M5,Heart failure self-management plan agreed
Heart failure,12366,662T.00,662T.,Congestive heart failure monitoring
Heart failure,30779,662W.00,662W.,Heart failure annual review
Heart failure,18853,662f.00,662f.,New York Heart Association classification - class I
Heart failure,13189,662g.00,662g.,New York Heart Association classification - class II
Heart failure,19066,662h.00,662h.,New York Heart Association classification - class III
Heart failure,51214,662i.00,662i.,New York Heart Association classification - class IV
Heart failure,83502,662p.00,662p.,Heart failure 6 month review
Heart failure,105002,679W100,679W1,Education about deteriorating heart failure
Heart failure,24503,8B29.00,8B29.,Cardiac failure therapy
Heart failure,32945,8CL3.00,8CL3.,Heart failure care plan discussed with patient
Heart failure,103732,8CMK.00,8CMK.,Has heart failure management plan
Heart failure,106008,8CMW800,8CMW8,Heart failure clinical pathway
Heart failure,105542,8CeC.00,8CeC.,Preferred place of care for next exacerbation heart failure
Heart failure,32898,8H2S.00,8H2S.,Admit heart failure emergency
Heart failure,17851,8HBE.00,8HBE.,Heart failure follow-up
Heart failure,70619,8HHz.00,8HHz.,Referral to heart failure exercise programme
Heart failure,12627,9N0k.00,9N0k.,Seen in heart failure clinic
Heart failure,19002,9N2p.00,9N2p.,Seen by community heart failure nurse
Heart failure,69062,9N6T.00,9N6T.,Referred by heart failure nurse specialist
Heart failure,72668,G210100,G2101,Malignant hypertensive heart disease with CCF
Heart failure,52127,G211100,G2111,Benign hypertensive heart disease with CCF
Heart failure,62718,G21z100,G21z1,Hypertensive heart disease NOS with CCF
Heart failure,21837,G232.00,G232.,Hypertensive heart&renal dis wth (congestive) heart failure
Heart failure,57987,G234.00,G234.,Hyperten heart&renal dis+both(congestv)heart and renal fail
Heart failure,2062,G58..00,G58..,Heart failure
Heart failure,1223,G58..11,G58..,Cardiac failure
Heart failure,398,G580.00,G580.,Congestive heart failure
Heart failure,2906,G580.11,G580.,Congestive cardiac failure
Heart failure,10079,G580.12,G580.,Right heart failure
Heart failure,10154,G580.13,G580.,Right ventricular failure
Heart failure,9524,G580.14,G580.,Biventricular failure
Heart failure,23707,G580000,G5800,Acute congestive heart failure
Heart failure,32671,G580100,G5801,Chronic congestive heart failure
Heart failure,27884,G580200,G5802,Decompensated cardiac failure
Heart failure,11424,G580300,G5803,Compensated cardiac failure
Heart failure,94870,G580400,G5804,Congestive heart failure due to valvular disease
Heart failure,884,G581.00,G581.,Left ventricular failure
Heart failure,23481,G581.11,G581.,Asthma - cardiac
Heart failure,43618,G581.12,G581.,Pulmonary oedema - acute
Heart failure,5942,G581.13,G581.,Impaired left ventricular function
Heart failure,5255,G581000,G5810,Acute left ventricular failure
Heart failure,27964,G582.00,G582.,Acute heart failure
Heart failure,101138,G583.00,G583.,Heart failure with normal ejection fraction
Heart failure,101137,G583.11,G583.,HFNEF - heart failure with normal ejection fraction
Heart failure,106897,G583.12,G583.,Heart failure with preserved ejection fraction
Heart failure,104275,G584.00,G584.,Right ventricular failure
Heart failure,4024,G58z.00,G58z.,Heart failure NOS
Heart failure,12590,G58z.11,G58z.,Weak heart
Heart failure,17278,G58z.12,G58z.,Cardiac failure NOS
Heart failure,96799,G5y4z00,G5y4z,Post cardiac operation heart failure NOS
Heart failure,8966,G5yy900,G5yy9,Left ventricular systolic dysfunction
Heart failure,12550,G5yyA00,G5yyA,Left ventricular diastolic dysfunction
Heart failure,68682,SP11100,SP111,Cardiac insufficiency as a complication of care
Heart failure,66306,SP11111,SP111,Heart failure as a complication of care
