Category,Medcode,Read code,Read V2 5B code,Read term
Epilepsy,37644,F132100,F1321,Progressive myoclonic epilepsy
Epilepsy,63826,F132111,F1321,Unverricht - Lundborg disease
Epilepsy,573,F25..00,F25..,Epilepsy
Epilepsy,11186,F250.00,F250.,Generalised nonconvulsive epilepsy
Epilepsy,2907,F250000,F2500,Petit mal (minor) epilepsy
Epilepsy,1715,F250011,F2500,Epileptic absences
Epilepsy,24309,F250200,F2502,Epileptic seizures - atonic
Epilepsy,31830,F250300,F2503,Epileptic seizures - akinetic
Epilepsy,34792,F250500,F2505,Lennox-Gastaut syndrome
Epilepsy,59185,F250y00,F250y,Other specified generalised nonconvulsive epilepsy
Epilepsy,44252,F250z00,F250z,Generalised nonconvulsive epilepsy NOS
Epilepsy,26144,F251.00,F251.,Generalised convulsive epilepsy
Epilepsy,95216,F2510,F2510,Grand mal (major) epilepsy
Epilepsy,988,F251000,F2510,Grand mal (major) epilepsy
Epilepsy,22804,F251011,F2510,Tonic-clonic epilepsy
Epilepsy,18471,F251200,F2512,Epileptic seizures - clonic
Epilepsy,4801,F251300,F2513,Epileptic seizures - myoclonic
Epilepsy,5152,F251400,F2514,Epileptic seizures - tonic
Epilepsy,8187,F251500,F2515,Tonic-clonic epilepsy
Epilepsy,45927,F251y00,F251y,Other specified generalised convulsive epilepsy
Epilepsy,40806,F251z00,F251z,Generalised convulsive epilepsy NOS
Epilepsy,9886,F252.00,F252.,Petit mal status
Epilepsy,5117,F253.00,F253.,Grand mal status
Epilepsy,4093,F253.11,F253.,Status epilepticus
Epilepsy,32288,F254.00,F254.,Partial epilepsy with impairment of consciousness
Epilepsy,3175,F254000,F2540,Temporal lobe epilepsy
Epilepsy,23634,F254100,F2541,Psychomotor epilepsy
Epilepsy,36203,F254200,F2542,Psychosensory epilepsy
Epilepsy,55665,F254300,F2543,Limbic system epilepsy
Epilepsy,34079,F254400,F2544,Epileptic automatism
Epilepsy,11394,F254500,F2545,Complex partial epileptic seizure
Epilepsy,31920,F254z00,F254z,Partial epilepsy with impairment of consciousness NOS
Epilepsy,26015,F255.00,F255.,Partial epilepsy without impairment of consciousness
Epilepsy,9569,F255000,F2550,"Jacksonian, focal or motor epilepsy"
Epilepsy,5525,F255011,F2550,Focal epilepsy
Epilepsy,65699,F255012,F2550,Motor epilepsy
Epilepsy,48134,F255100,F2551,Sensory induced epilepsy
Epilepsy,37592,F255200,F2552,Somatosensory epilepsy
Epilepsy,73542,F255300,F2553,Visceral reflex epilepsy
Epilepsy,98870,F255311,F2553,Partial epilepsy with autonomic symptoms
Epilepsy,55739,F255400,F2554,Visual reflex epilepsy
Epilepsy,68946,F255500,F2555,Unilateral epilepsy
Epilepsy,40105,F255600,F2556,Simple partial epileptic seizure
Epilepsy,26733,F255y00,F255y,Partial epilepsy without impairment of consciousness OS
Epilepsy,27526,F255z00,F255z,Partial epilepsy without impairment of consciousness NOS
Epilepsy,4478,F256.00,F256.,Infantile spasms
Epilepsy,68486,F256.11,F256.,Lightning spasms
Epilepsy,39023,F256.12,F256.,West syndrome
Epilepsy,7945,F256000,F2560,Hypsarrhythmia
Epilepsy,23415,F256100,F2561,Salaam attacks
Epilepsy,49322,F256z00,F256z,Infantile spasms NOS
Epilepsy,71719,F257.00,F257.,Kojevnikov's epilepsy
Epilepsy,30604,F25B.00,F25B.,Alcohol-induced epilepsy
Epilepsy,30816,F25C.00,F25C.,Drug-induced epilepsy
Epilepsy,56359,F25D.00,F25D.,Menstrual epilepsy
Epilepsy,65673,F25E.00,F25E.,Stress-induced epilepsy
Epilepsy,30635,F25F.00,F25F.,Photosensitive epilepsy
Epilepsy,6271,F25X.00,F25X.,"Status epilepticus, unspecified"
Epilepsy,38307,F25y.00,F25y.,Other forms of epilepsy
Epilepsy,55260,F25y000,F25y0,Cursive (running) epilepsy
Epilepsy,53483,F25y100,F25y1,Gelastic epilepsy
Epilepsy,9887,F25y200,F25y2,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset
Epilepsy,25330,F25y300,F25y3,Complex partial status epilepticus
Epilepsy,96641,F25y500,F25y5,Panayiotopoulos syndrome
Epilepsy,9979,F25yz00,F25yz,Other forms of epilepsy NOS
Epilepsy,9747,F25z.00,F25z.,Epilepsy NOS
Epilepsy,3607,F25z.11,F25z.,Fit (in known epileptic) NOS
Epilepsy,4109,SC20000,SC200,Traumatic epilepsy
Epilepsy resolved,8385,2126000,21260,Epilepsy resolved
Epilepsy resolved,12848,212J.00,212J.,Epilepsy resolved
