Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
Pain medication,Amitriptyline,27876,!0226401,AMITRIPTYLINE,,00000000
Pain medication,Amitriptyline,20712,!0227402,AMITRIPTYLINE S/R,,00000000
Pain medication,Amitriptyline,30738,!8504070,AMITRIPTYLINE S/F,,00000000
Pain medication,Amitriptyline,13496,00173007,AMITRIPTYLINE 200 MG TAB,,00000000
Pain medication,Amitriptyline,23497,00174007,AMITRIPTYLINE 300 MG TAB,,00000000
Pain medication,Amitriptyline,873,00175007,AMITRIPTYLINE 100 MG TAB,,00000000
Pain medication,Amitriptyline,46801,00503021,Amitriptyline 10mg/5ml oral solution,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,46818,00505021,Amitriptyline 10mg/5ml oral suspension,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,8250,03108007,AMITRIPTYLINE S/F 25 MG/5ML SYR,,00000000
Pain medication,Amitriptyline,57972,03671020,Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,57107,03673020,Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,52867,03674020,Amitriptyline 10mg tablets (Accord Healthcare Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,55139,03675020,Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,66572,03677020,Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,60355,03678020,Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,54877,03679020,Amitriptyline 25mg tablets (Accord Healthcare Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,3771,05932007,AMITRIPTYLINE 75 MG TAB,,00000000
Pain medication,Amitriptyline,61835,16423021,Amitriptyline 10mg tablets (DE Pharmaceuticals),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,64647,16424021,Amitriptyline 25mg tablets (DE Pharmaceuticals),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,67127,16426021,Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,64141,18973020,Amitriptyline 5mg/5ml oral solution,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,70991,41373020,Amitriptyline 10mg tablets (Arrow Generics Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,71042,41374020,Amitriptyline 25mg tablets (Arrow Generics Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,59161,47269020,Amitriptyline 10mg tablets (Waymade Healthcare Plc),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,65987,48019021,Amitriptyline 25mg tablets (Crescent Pharma Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,24152,48479020,Amitriptyline 10mg tablets (Teva UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,24147,48480020,Amitriptyline 25mg tablets (Teva UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,33624,48481020,Amitriptyline 50mg tablets (Teva UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34401,48484020,Amitriptyline 10mg tablets (Wockhardt UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34129,48485020,Amitriptyline 25mg tablets (Wockhardt UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34107,48486020,Amitriptyline 50mg tablets (Wockhardt UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34916,48490020,Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,40396,48491020,Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,34197,48492020,Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,33090,48496020,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34782,48497020,Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34274,48498020,Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
