Category,Medcode,Read code,Read V2 5B code,Read term
Severe mental illness,7233,E0...00,E0...,Organic psychotic conditions
Severe mental illness,33707,E00..00,E00..,Senile and presenile organic psychotic conditions
Severe mental illness,1916,E00..11,E00..,Senile dementia
Severe mental illness,1350,E00..12,E00..,Senile/presenile dementia
Severe mental illness,7323,E000.00,E000.,Uncomplicated senile dementia
Severe mental illness,15165,E001.00,E001.,Presenile dementia
Severe mental illness,42602,E001000,E0010,Uncomplicated presenile dementia
Severe mental illness,49513,E001100,E0011,Presenile dementia with delirium
Severe mental illness,30032,E001200,E0012,Presenile dementia with paranoia
Severe mental illness,27677,E001300,E0013,Presenile dementia with depression
Severe mental illness,38438,E001z00,E001z,Presenile dementia NOS
Severe mental illness,44674,E002.00,E002.,Senile dementia with depressive or paranoid features
Severe mental illness,18386,E002000,E0020,Senile dementia with paranoia
Severe mental illness,21887,E002100,E0021,Senile dementia with depression
Severe mental illness,41089,E002z00,E002z,Senile dementia with depressive or paranoid features NOS
Severe mental illness,37015,E003.00,E003.,Senile dementia with delirium
Severe mental illness,19477,E004.00,E004.,Arteriosclerotic dementia
Severe mental illness,8634,E004.11,E004.,Multi infarct dementia
Severe mental illness,43089,E004000,E0040,Uncomplicated arteriosclerotic dementia
Severe mental illness,56912,E004100,E0041,Arteriosclerotic dementia with delirium
Severe mental illness,55467,E004200,E0042,Arteriosclerotic dementia with paranoia
Severe mental illness,43292,E004300,E0043,Arteriosclerotic dementia with depression
Severe mental illness,42279,E004z00,E004z,Arteriosclerotic dementia NOS
Severe mental illness,15249,E00y.00,E00y.,Other senile and presenile organic psychoses
Severe mental illness,51494,E00y.11,E00y.,Presbyophrenic psychosis
Severe mental illness,2882,E00z.00,E00z.,Senile or presenile psychoses NOS
Severe mental illness,16237,E01..00,E01..,Alcoholic psychoses
Severe mental illness,16225,E010.00,E010.,Alcohol withdrawal delirium
Severe mental illness,22277,E010.11,E010.,DTs - delirium tremens
Severe mental illness,1476,E010.12,E010.,Delirium tremens
Severe mental illness,20762,E011.00,E011.,Alcohol amnestic syndrome
Severe mental illness,4500,E011000,E0110,Korsakov's alcoholic psychosis
Severe mental illness,11106,E011100,E0111,Korsakov's alcoholic psychosis with peripheral neuritis
Severe mental illness,18636,E011200,E0112,Wernicke-Korsakov syndrome
Severe mental illness,41920,E011z00,E011z,Alcohol amnestic syndrome NOS
Severe mental illness,54505,E012.00,E012.,Other alcoholic dementia
Severe mental illness,27342,E012.11,E012.,Alcoholic dementia NOS
Severe mental illness,37946,E012000,E0120,Chronic alcoholic brain syndrome
Severe mental illness,25110,E013.00,E013.,Alcohol withdrawal hallucinosis
Severe mental illness,57939,E014.00,E014.,Pathological alcohol intoxication
Severe mental illness,20407,E014.11,E014.,Drunkenness - pathological
Severe mental illness,30404,E015.00,E015.,Alcoholic paranoia
