Category,Medcode,Read code,Read V2 5B code,Read term
Stroke,28914,662o.00,662o.,Haemorrhagic stroke monitoring
Stroke,1786,G60..00,G60..,Subarachnoid haemorrhage
Stroke,29939,G600.00,G600.,Ruptured berry aneurysm
Stroke,56007,G601.00,G601.,Subarachnoid haemorrhage from carotid siphon and bifurcation
Stroke,19412,G602.00,G602.,Subarachnoid haemorrhage from middle cerebral artery
Stroke,42331,G603.00,G603.,Subarachnoid haemorrhage from anterior communicating artery
Stroke,9696,G604.00,G604.,Subarachnoid haemorrhage from posterior communicating artery
Stroke,41910,G605.00,G605.,Subarachnoid haemorrhage from basilar artery
Stroke,60692,G606.00,G606.,Subarachnoid haemorrhage from vertebral artery
Stroke,17326,G60X.00,G60X.,"Subarachnoid haemorrh from intracranial artery, unspecif"
Stroke,23580,G60z.00,G60z.,Subarachnoid haemorrhage NOS
Stroke,5051,G61..00,G61..,Intracerebral haemorrhage
Stroke,6960,G61..11,G61..,CVA - cerebrovascular accid due to intracerebral haemorrhage
Stroke,18604,G61..12,G61..,Stroke due to intracerebral haemorrhage
Stroke,31595,G610.00,G610.,Cortical haemorrhage
Stroke,40338,G611.00,G611.,Internal capsule haemorrhage
Stroke,46316,G612.00,G612.,Basal nucleus haemorrhage
Stroke,13564,G613.00,G613.,Cerebellar haemorrhage
Stroke,7912,G614.00,G614.,Pontine haemorrhage
Stroke,62342,G615.00,G615.,Bulbar haemorrhage
Stroke,30045,G616.00,G616.,External capsule haemorrhage
Stroke,30202,G617.00,G617.,"Intracerebral haemorrhage, intraventricular"
Stroke,57315,G618.00,G618.,"Intracerebral haemorrhage, multiple localized"
Stroke,107440,G619.00,G619.,Lobar cerebral haemorrhage
Stroke,31060,G61X.00,G61X.,"Intracerebral haemorrhage in hemisphere, unspecified"
Stroke,28314,G61X000,G61X0,"Left sided intracerebral haemorrhage, unspecified"
Stroke,19201,G61X100,G61X1,"Right sided intracerebral haemorrhage, unspecified"
Stroke,3535,G61z.00,G61z.,Intracerebral haemorrhage NOS
Stroke,31805,G62..00,G62..,Other and unspecified intracranial haemorrhage
Stroke,4273,G621.00,G621.,Subdural haemorrhage - nontraumatic
Stroke,17734,G622.00,G622.,Subdural haematoma - nontraumatic
Stroke,18912,G623.00,G623.,Subdural haemorrhage NOS
Stroke,20284,G62z.00,G62z.,Intracranial haemorrhage NOS
Stroke,23671,G63y000,G63y0,Cerebral infarct due to thrombosis of precerebral arteries
Stroke,24446,G63y100,G63y1,Cerebral infarction due to embolism of precerebral arteries
Stroke,8837,G64..00,G64..,Cerebral arterial occlusion
Stroke,5363,G64..11,G64..,CVA - cerebral artery occlusion
Stroke,569,G64..12,G64..,Infarction - cerebral
Stroke,6155,G64..13,G64..,Stroke due to cerebral arterial occlusion
Stroke,16517,G640.00,G640.,Cerebral thrombosis
Stroke,36717,G640000,G6400,Cerebral infarction due to thrombosis of cerebral arteries
Stroke,15019,G641.00,G641.,Cerebral embolism
Stroke,34758,G641.11,G641.,Cerebral embolus
