Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
Anxiety,1008731000006119,1008731000006103,1008731000006119,had scale - sudden panic
Anxiety,166341019,102912007,166341019,fear of death
Anxiety,2618361000000113,1037451000000103,2618361000000113,referral for psychological management of anxiety
Anxiety,1146851000000112,1038231000000105,2620321000000113,feeling low or worried
Anxiety,130538010,111475002,1219652011,nervous breakdown
Anxiety,441512015,11806006,441512015,separation anxiety disorder
Anxiety,252894016,162189001,252894016,general nervous symptoms
Anxiety,1626511000006116,1626511000006100,1626511000006116,generalised anxiety disorder (gad-7) score
Anxiety,253620013,162723006,253620013,o/e - anxious
Anxiety,4550971000006119,162723006,2668160013,on examination - anxious
Anxiety,253621012,162724000,253621012,o/e - nervous
Anxiety,4550991000006118,162724000,2668161012,on examination - nervous
Anxiety,2777721000006112,17496003,2777721000006112,organic anxiety disorder
Anxiety,403931000006116,17496003,29572018,[x]organic anxiety disorder
Anxiety,12703831000006115,17496003,403931000006116,[x]organic anxiety disorder
Anxiety,1806261000006117,1806261000006101,1806261000006117,psycho-education - anxiety
Anxiety,1808511000006119,1808511000006103,1808511000006119,recurrent panic attacks
Anxiety,1809341000006115,1809341000006104,1809341000006115,fear of disease
Anxiety,1818111000006112,1818111000006108,1818111000006112,feeling anxious
Anxiety,1839741000006111,1839741000006107,1839741000006111,"gad-7 score - feeling nervous, anxious or on edge"
Anxiety,1839801000006118,1839801000006102,1839801000006118,gad-7 score - feeling afraid as if something awful might happen
Anxiety,285365017,185348006,285365017,encounter for fear
Anxiety,1861181000006114,1861181000006105,1861181000006114,breathlessness causing anxiety
Anxiety,294960010,191708009,294960010,chronic anxiety
Anxiety,294961014,191709001,294961014,recurrent anxiety
Anxiety,294992011,191722009,294992011,agoraphobia with panic attacks
Anxiety,418051000006118,191722009,294992011,[x]panic disorder with agoraphobia
Anxiety,295474019,192037000,295474019,acute panic state due to acute stress reaction
Anxiety,296238018,197480006,303689015,[x]other anxiety disorders
Anxiety,296249012,197480006,303689015,"[x]anxiety disorder, unspecified"
Anxiety,363641000006114,197480006,303689015,[x]anxiety hysteria
Anxiety,363661000006113,197480006,303689015,[x]anxiety nos
Anxiety,363671000006118,197480006,303689015,[x]anxiety reaction
Anxiety,401881014,197480006,303689015,[x]other specified anxiety disorders
Anxiety,488201000006114,197480006,303689015,anxiety states
