Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
BMI - Height,1910931000006112,1910931000006108,1910931000006112,Reported height
BMI - Height,253669010,248333004,370729019,O/E - height
BMI - Height,253676017,248333004,370729019,O/E - height NOS
BMI - Height,5256151000006111,248333004,5256151000006111,Standing height
BMI - Height,923831000006115,923831000006104,923831000006115,O/E - height
BMI - Weight,2934301000006116,27113001,2934301000006116,Body weight
BMI - Weight,253677014,27113001,45352010,O/E - weight
BMI - Weight,253688015,27113001,45352010,O/E - weight NOS
BMI - Weight,2934311000006118,27113001,598581000000118,Weight
BMI - Weight,923851000006110,923851000006106,923851000006110,O/E - weight
BMI,253687013,162769006,253687013,o/e - underweight
BMI,4551891000006115,162769006,2667039019,on examination - underweight
BMI,4553721000006113,162863004,2164215019,bmi 25-29 - overweight
BMI,253847018,162863004,253847018,body mass index index 25-29 - overweight
BMI,4553701000006115,162863004,2773979010,body mass index 25-29 - overweight
BMI,4553741000006118,162864005,2164216018,bmi 30+ - obesity
BMI,253848011,162864005,253848011,body mass index 30+ - obesity
BMI,1728141000006115,1728141000006104,1728141000006115,bmi centile
BMI,1808061000006114,1808061000006105,1808061000006114,body mass index less than 18.5
BMI,1808071000006119,1808071000006103,1808071000006119,body mass index 18.5-24.9
BMI,356960015,238131007,356960015,overweight
BMI,5117851000006111,238131007,356961016,patient overweight
BMI,5998281000006119,310252000,2164663010,bmi less than 20
BMI,453856012,310252000,453856012,body mass index less than 20
BMI,3070611000006119,35425004,2227901000000117,normal bmi (body mass index)
BMI,253844013,35425004,59104012,body mass index normal k/m2
BMI,2160062010,408512008,2160062010,body mass index 40+ - severely obese
BMI,6763401000006111,408512008,2227961000000118,bmi (body mass index) 40+ - severely obese
BMI,6763391000006114,408512008,3005953017,body mass index 40+ - morbidly obese
BMI,6831331000006118,412768003,2228011000000118,bmi (body mass index) 20-24 - normal
BMI,7332961000006118,446974000,2228211000000113,bmi (body mass index) centile
BMI,1551651000000111,446974000,2882934011,body mass index centile
BMI,3284711000006119,48499001,2227911000000115,increased bmi (body mass index)
BMI,253845014,48499001,80800016,body mass index high k/m2
BMI,100716012,60621009,100716012,body mass index
BMI,3484801000006114,60621009,2164081012,bmi - body mass index
BMI,3484781000006110,60621009,3484781000006110,body mass index
BMI,253846010,6497000,11777011,body mass index low k/m2
BMI,2603621000006111,6497000,2227891000000118,decreased bmi (body mass index)
BMI,2196031000000118,846911000000109,2196031000000118,baseline body mass index centile
BMI,8286961000006110,846911000000109,2228231000000117,baseline bmi (body mass index) centile
BMI,2196071000000116,846931000000101,2196071000000116,baseline body mass index
BMI,8286991000006119,846931000000101,2228241000000114,baseline bmi (body mass index)
BMI,857321000006113,857321000006109,857321000006113,moderately obese
BMI,857911000006118,857911000006102,857911000006118,very obese
BMI,2350241000000116,914721000000105,2350241000000116,obese class i (body mass index 30.0 - 34.9)
BMI,2350261000000115,914731000000107,2350261000000115,obese class ii (body mass index 35.0 - 39.9)
BMI,1900331000006113,914741000000103,2350281000000112,obese class iii (bmi equal to or greater than 40.0)
BMI,923861000006112,923861000006108,923861000006112,body mass index
BMI,1922491000006113,926011000000101,2374311000000119,down's syndrome body mass index centile
BMI,8334011000006117,926011000000101,2374341000000118,down's syndrome bmi (body mass index) centile
