Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
Bronchiectasis,21163015,,,bronchiectasis
Bronchiectasis,3183591000006116,,,"bronchiectasis, chronic sinusitis and dextrocardia syndrome"
Bronchiectasis,3901501000006113,,,polynesian bronchiectasis
Bronchiectasis,4781641000006119,,,postinfectious bronchiectasis
Bronchiectasis,301524014,,,recurrent bronchiectasis
Bronchiectasis,301525010,,,post-infective bronchiectasis
Bronchiectasis,3762481000006115,,,developmental bronchiectasis
Bronchiectasis,301526011,,,bronchiectasis nos
Bronchiectasis,38677017,,,tuberculous bronchiectasis
Bronchiectasis,2867041000006113,,,post-tuberculous bronchiectasis
