Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
COPD (specific),11932331000006115,11932331000006104,11932331000006115,COPD GOLD group A
COPD (specific),11932341000006113,11932341000006109,11932341000006113,COPD GOLD group B
COPD (specific),11932351000006110,11932351000006106,11932351000006110,COPD GOLD group C
COPD (specific),11932361000006112,11932361000006108,11932361000006112,COPD GOLD group D
COPD (specific),216596014,135836000,216596014,End stage chronic obstructive airways disease
COPD (specific),4510801000006114,135836000,3034045017,End stage chronic obstructive pulmonary disease
COPD (specific),2716231000006114,13645005,23287019,Chronic obstructive lung disease
COPD (specific),555471000006114,13645005,475423015,Chronic obstructive airways disease
COPD (specific),2716321000006116,13645005,475427019,COPD - Chronic obstructive pulmonary disease
COPD (specific),301545019,13645005,475428012,Chronic obstructive airways disease NOS
COPD (specific),301539010,13645005,475428012,Other specified chronic obstructive airways disease
COPD (specific),2716351000006113,13645005,475430014,COLD - Chronic obstructive lung disease
COPD (specific),301836011,13645005,475431013,[X]Other specified chronic obstructive pulmonary disease
COPD (specific),1222334016,13645005,475431013,Other specified chronic obstructive pulmonary disease
COPD (specific),1222335015,13645005,475431013,Chronic obstructive pulmonary disease NOS
COPD (specific),475431013,13645005,475431013,Chronic obstructive pulmonary disease
COPD (specific),990641000006110,13645005,990641000006110,Chronic obst. pulm. dis. NOS
COPD (specific),27096010,16003001,27096010,Giant bullous emphysema
COPD (specific),1771201000006116,1771201000006100,1771201000006116,Chronic obstructive pulmonary disease multidisciplinary review
COPD (specific),1823851000006119,1823851000006103,1823851000006119,Chronic obstructive pulmonary disease confirmed
COPD (specific),1824071000006115,1824071000006104,1824071000006115,COPD clinical pathway protocol followed
COPD (specific),1839331000006117,1839331000006101,1839331000006117,Seen in chronic obstructive pulmonary disease clinic
COPD (specific),285100019,185086009,285100019,Emphysematous bronchitis
COPD (specific),4732991000006119,185086009,285101015,Chronic bronchitis with emphysema
COPD (specific),1856491000006119,1856491000006103,1856491000006119,Chronic obstructive pulmonary disease monitoring in primary care
COPD (specific),1856501000006110,1856501000006106,1856501000006110,Chronic obstructive pulmonary disease monitoring secondary care
COPD (specific),1856571000006116,1856571000006100,1856571000006116,Chronic obstructive pulmonary disease severity
COPD (specific),1856581000006118,1856581000006102,1856581000006118,Chronic obstructive pulmonary disease monitoring default
COPD (specific),1856591000006115,1856591000006104,1856591000006115,Chronic obstructive pulmonary disease follow-up assessment
COPD (specific),1882421000006113,1882421000006109,1882421000006113,1 COPD exacerbation in past year
COPD (specific),1882431000006111,1882431000006107,1882431000006111,3+ COPD exacerbations in past year
COPD (specific),1882441000006118,1882441000006102,1882441000006118,2 COPD exacerbations in past year
COPD (specific),1882451000006116,1882451000006100,1882451000006116,No COPD exacerbations in past year
COPD (specific),4781421000006111,195951007,3012683010,Acute exacerbation of COPD
COPD (specific),4781431000006114,195951007,3012710012,Acute exacerbation of chronic obstructive pulmonary disease
COPD (specific),553211000006119,195951007,301453013,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
COPD (specific),301453013,195951007,301453013,Acute exacerbation of chronic obstructive airways disease
COPD (specific),301460019,195957006,301460019,Chronic bullous emphysema
COPD (specific),301468014,195957006,301460019,Chronic bullous emphysema NOS
COPD (specific),4781471000006112,195957006,301462010,Bullous emphysema
COPD (specific),301463017,195958001,301463017,Segmental bullous emphysema
COPD (specific),301464011,195959009,301464011,Zonal bullous emphysema
COPD (specific),301470017,195963002,301470017,Acute vesicular emphysema
COPD (specific),8058301000006110,198401000000104,1677391000000113,COPD (chronic obstructive pulmonary disease) disturbs sleep
COPD (specific),299001000000116,198401000000104,299001000000116,Chronic obstructive pulmonary disease disturbs sleep
COPD (specific),8058321000006117,198411000000102,1677401000000111,COPD (chronic obstructive pulmonary disease) does not disturb sleep
COPD (specific),299031000000110,198411000000102,299031000000110,Chronic obstructive pulmonary disease does not disturb sleep
COPD (specific),998281000006115,198901000000105,300201000000114,Multiple COPD emergency hospital admissions
COPD (specific),2009451000006113,2009451000006109,2009451000006113,Chronic obstructive pulmonary disease post discharge review
COPD (specific),2009501000006110,2009501000006106,2009501000006110,Suitable for step down change in COPD management plan
