Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
Depression,376751000006117,1084061000000106,2716551000000112,[x]depressive personality disorder
Depression,8460861000006115,1084061000000106,8460861000006115,depressive personality disorder
Depression,424681000006118,1086471000000103,2721771000000114,[x]recurrent severe episodes/reactive depressive psychosis
Depression,8464961000006115,1086471000000103,8464961000006115,"recurrent reactive depressive episodes, severe, with psychosis"
Depression,8035351000006117,112001000119100,2955667010,positive screening for depression on patient health questionnaire 9
Depression,8035341000006119,112001000119100,3320737018,positive screening for depression on phq-9 (patient health questionnaire 9)
Depression,294891017,13746004,1221011015,other and unspecified manic-depressive psychoses
Depression,294892012,13746004,1221011015,unspecified manic-depressive psychoses
Depression,294896010,13746004,1221011015,other and unspecified manic-depressive psychoses nos
Depression,396801000006115,13746004,1221011015,[x]manic-depressive psychosis
Depression,396791000006116,13746004,1221012010,[x]manic-depressive illness
Depression,2717981000006118,13746004,1221013017,mdi - manic-depressive illness
Depression,396071000006119,13746004,23447014,[x]manic-depressive reaction
Depression,882311000006110,13746004,882311000006110,manic-depressive psychoses
Depression,12451461000006112,15639000,142511000006119,"single major depressive episode, moderate"
Depression,294826016,15639000,26507014,"single major depressive episode, moderate"
Depression,2748031000006110,15639000,2748031000006110,"moderate major depression, single episode"
Depression,294895014,16506000,27929014,other mixed manic-depressive psychoses
Depression,1823881000006110,1823881000006106,1823881000006110,depression confirmed
Depression,1839551000006116,1839551000006100,1839551000006116,phq9 total score 5-9 (mild depression)
Depression,1839561000006119,1839561000006103,1839561000006119,phq9 total score 10-14 (moderate depression)
Depression,1839571000006114,1839571000006105,1839571000006114,phq9 total score 15-19 (moderately severe depression)
Depression,1839581000006112,1839581000006108,1839581000006112,phq9 total score 20-27 (severe depression)
Depression,294828015,191604000,294828015,"single major depressive episode, severe, with psychosis"
Depression,401869010,191604000,294828015,[x]severe depressive episode with psychotic symptoms
Depression,426921000006115,191604000,294828015,[x]single episode of major depression and psychotic symptoms
Depression,426961000006114,191604000,294828015,[x]single episode of psychotic depression
Depression,294837015,191610000,294837015,"recurrent major depressive episodes, mild"
Depression,294838013,191611001,294838013,"recurrent major depressive episodes, moderate"
Depression,294840015,191613003,294840015,"recurrent major depressive episodes, severe, with psychosis"
Depression,424551000006113,191613003,294840015,[x]recurr severe episodes/psychogenic depressive psychosis
Depression,424671000006116,191613003,294840015,[x]recurrent severe episodes of psychotic depression
Depression,11921141000006115,191613003,424681000006118,[x]recurrent severe episodes/reactive depressive psychosis
Depression,294844012,191616006,294844012,recurrent depression
Depression,296199015,191616006,294844012,[x]other recurrent depressive disorders
Depression,401873013,191616006,294844012,[x]recurrent depressive disorder
Depression,401876017,191616006,294844012,"[x]recurrent depressive disorder, unspecified"
Depression,424631000006119,191616006,294844012,[x]recurrent episodes of depressive reaction
Depression,424641000006112,191616006,294844012,[x]recurrent episodes of psychogenic depression
Depression,424651000006114,191616006,294844012,[x]recurrent episodes of reactive depression
Depression,294847017,191618007,294847017,manic-depressive - now manic
Depression,294860011,191627008,294860011,manic-depressive - now depressed
Depression,294894013,191659001,294894013,atypical depressive disorder
Depression,366561000006119,191659001,294894013,[x]atypical depression
Depression,294917018,191676002,294917018,reactive depressive psychosis
Depression,426951000006112,191676002,294917018,[x]single episode of psychogenic depressive psychosis
Depression,426981000006116,191676002,294917018,[x]single episode of reactive depressive psychosis
Depression,294918011,191676002,294918011,psychotic reactive depression
Depression,295494011,192046006,295490019,brief depressive reaction nos
Depression,202561000006114,192049004,295495012,prolonged depressive reaction
Depression,295537016,192080009,295537016,chronic depression
Depression,12451451000006110,19527009,142491000006113,"single major depressive episode, in full remission"
Depression,294831019,19527009,3304522019,"single major depressive episode, in full remission"
Depression,1972111000006114,1972111000006105,1972111000006114,organic depressive disorder
Depression,1975191000006114,1975191000006105,1975191000006114,"post-schizophrenic depression, continuous"
Depression,1975211000006110,1975211000006106,1975211000006110,"post-schizophrenic depression, episodic with progressive deficit"
Depression,1975231000006116,1975231000006100,1975231000006116,"post-schizophrenic depression, episodic with stable deficit"
Depression,1975261000006113,1975261000006109,1975261000006113,"post-schizophrenic depression, episodic remittent"
Depression,1975281000006115,1975281000006104,1975281000006115,"post-schizophrenic depression, incomplete remission"
Depression,1975981000006114,1975981000006105,1975981000006114,"mild depressive episode, without somatic syndrome"
Depression,1975991000006112,1975991000006108,1975991000006112,"mild depressive episode, with somatic syndrome"
Depression,1976021000006115,1976021000006104,1976021000006115,"moderate depressive episode, without somatic syndrome"
Depression,1976051000006112,1976051000006108,1976051000006112,"moderate depressive episode, with somatic syndrome"
Depression,1976211000006116,1976211000006100,1976211000006116,"recurrent depressive disorder, current episode mild, without somatic syndrome"
Depression,1976231000006110,1976231000006106,1976231000006110,"recurrent depressive disorder, current episode mild, with somatic syndrome"
Depression,1976251000006115,1976251000006104,1976251000006115,"recurrent depressive disorder, current episode moderate, without somatic syndrome"
Depression,1976271000006113,1976271000006109,1976271000006113,"recurrent depressive disorder, current episode moderate, with somatic syndrome"
Depression,1976411000006115,1976411000006104,1976411000006115,"other recurrent mood affective disorders, recurrent brief depressive disorder"
