Category,BNF Chapter,Prodcode,dm+d code,Product Name,Drug Substance
Exacerbations - Antibiotics,,1044541000033118,,penicillin v capsules 250 mg,
Exacerbations - Antibiotics,,1051141000033110,,penicillin v elixir 125 mg/5 ml,
Exacerbations - Antibiotics,,1051241000033115,,penicillin v elixir 250 mg/5 ml,
Exacerbations - Antibiotics,,1051341000033113,,penicillin v elixir 62.5 mg/5 ml,
Exacerbations - Antibiotics,,1064641000033111,,penicillin vk tablets 250 mg,
Exacerbations - Antibiotics,,1067741000033113,,penicillin v tablets 250 mg,
Exacerbations - Antibiotics,,12395841000033112,,cefixime 400mg tablets,
Exacerbations - Antibiotics,,13300741000033118,,erythromycin stearate 500mg tablets,
Exacerbations - Antibiotics,,1553141000033111,,zithromax 250mg capsules (pfizer ltd),
Exacerbations - Antibiotics,,1556241000033110,,zinnat suspension 125mg granules sachets (glaxosmithkline uk ltd),
Exacerbations - Antibiotics,,1557041000033117,,zinnat 125mg/5ml oral suspension (glaxosmithkline uk ltd),
Exacerbations - Antibiotics,,1557141000033118,,zithromax 200mg/5ml oral suspension (pfizer ltd),
Exacerbations - Antibiotics,,1557341000033115,,zinnat 250mg tablets (glaxosmithkline uk ltd),
Exacerbations - Antibiotics,,1558241000033114,,zinnat 125mg tablets (glaxosmithkline uk ltd),
Exacerbations - Antibiotics,,1572541000033110,,augmentin 1 g tablets,
Exacerbations - Antibiotics,,1572841000033112,,azithromycin 500mg tablets,
Exacerbations - Antibiotics,,1581441000033111,,cephalexin tablets 1 gram,
Exacerbations - Antibiotics,,1582841000033117,,ciproxin 250mg/5ml oral suspension (bayer plc),
Exacerbations - Antibiotics,,1582941000033113,,ciprofloxacin 250mg/5ml oral suspension,
Exacerbations - Antibiotics,,1594141000033117,,co-amoxiclav 875mg/125mg tablets,
Exacerbations - Antibiotics,,1603241000033119,,doxycycline 50mg capsules,
Exacerbations - Antibiotics,,1626141000033110,,levofloxacin 500mg/100ml solution for infusion vials,
Exacerbations - Antibiotics,,1626241000033115,,levofloxacin 250mg tablets,
Exacerbations - Antibiotics,,1626341000033113,,levofloxacin 500mg tablets,
Exacerbations - Antibiotics,,1698641000033112,,tavanic 500mg/100ml solution for infusion vials (sanofi),
Exacerbations - Antibiotics,,1698741000033115,,tavanic 250mg tablets (sanofi),
Exacerbations - Antibiotics,,1698841000033113,,tavanic 500mg tablets (sanofi),
Exacerbations - Antibiotics,,1713741000033116,,zithromax 500mg tablets (pfizer ltd),
Exacerbations - Antibiotics,,1830541000033112,,clarithromycin 250mg/5ml oral suspension,
Exacerbations - Antibiotics,,1830641000033113,,klaricid paediatric 250mg/5ml oral suspension (mylan),
Exacerbations - Antibiotics,,1846041000033116,,erythromycin 40mg/ml / zinc acetate 12mg/ml lotion,
Exacerbations - Antibiotics,,1924941000033118,,erythromycin 250mg gastro-resistant tablets,
Exacerbations - Antibiotics,,219741000033111,,cefaclor 500mg capsules,
Exacerbations - Antibiotics,,220441000033115,,cefaclor 250mg capsules,
Exacerbations - Antibiotics,,220541000033119,,cefadroxil 500mg capsules,
Exacerbations - Antibiotics,,220741000033110,,cephalexin capsules 250 mg,
Exacerbations - Antibiotics,,220841000033117,,cephalexin capsules 500 mg,
Exacerbations - Antibiotics,,221241000033111,,cephalexin chewable tablets 125 mg,
Exacerbations - Antibiotics,,221341000033118,,cephalexin chewable tablets 250 mg,
Exacerbations - Antibiotics,,227741000033114,,cefaclor 375mg modified-release tablets,
Exacerbations - Antibiotics,,227841000033116,,cefaclor m/r tablets 500 mg,
Exacerbations - Antibiotics,,227941000033112,,cephalexin mixture 125 mg/5 ml,
Exacerbations - Antibiotics,,228041000033110,,cephalexin mixture 250 mg/5 ml,
Exacerbations - Antibiotics,,228141000033114,,cephalexin mixture 500mg/5 ml,
Exacerbations - Antibiotics,,228541000033117,,cephalexin paediatric drops 125 mg/1.25 ml,
Exacerbations - Antibiotics,,228941000033111,,cefuroxime 125mg granules sachets,
Exacerbations - Antibiotics,,230041000033114,,cefixime 100mg/5ml oral suspension,
Exacerbations - Antibiotics,,230141000033113,,cefuroxime 125mg/5ml oral suspension,
Exacerbations - Antibiotics,,230741000033112,,cefaclor 125mg/5ml oral suspension sugar free,
Exacerbations - Antibiotics,,230841000033119,,cefaclor 250mg/5ml oral suspension sugar free,
Exacerbations - Antibiotics,,230941000033110,,cefaclor 125mg/5ml oral suspension,
Exacerbations - Antibiotics,,231041000033117,,cefadroxil 125mg/5ml oral suspension,
Exacerbations - Antibiotics,,231141000033118,,cephalexin suspension 125 mg/5 ml,
Exacerbations - Antibiotics,,231241000033113,,cephalexin suspension 250 mg/5 ml,
Exacerbations - Antibiotics,,231541000033110,,cefadroxil 250mg/5ml oral suspension,
Exacerbations - Antibiotics,,231641000033111,,cefadroxil 500mg/5ml oral suspension,
Exacerbations - Antibiotics,,231741000033119,,cefaclor 250mg/5ml oral suspension,
Exacerbations - Antibiotics,,232041000033110,,cephalexin syrup 125 mg/5 ml,
Exacerbations - Antibiotics,,232141000033114,,cephalexin syrup 250 mg/5 ml,
Exacerbations - Antibiotics,,232241000033119,,cephalexin syrup 500 mg/5 ml,
Exacerbations - Antibiotics,,232641000033116,,cephalexin syrup 500mg/5 ml,
Exacerbations - Antibiotics,,232741000033113,,cefixime 200mg tablets,
Exacerbations - Antibiotics,,233041000033118,,cefuroxime 250mg tablets,
Exacerbations - Antibiotics,,234941000033119,,cephalexin tablets 250 mg,
Exacerbations - Antibiotics,,235041000033119,,cephalexin tablets 500 mg,
Exacerbations - Antibiotics,,235441000033111,,cefuroxime 125mg tablets,
Exacerbations - Antibiotics,,2494341000033110,,*penicillin tablets,
Exacerbations - Antibiotics,,2494441000033116,,*penicillin granules,
Exacerbations - Antibiotics,,2494541000033115,,*penicillin liquid,
Exacerbations - Antibiotics,,2494641000033119,,*penicillin powder,
Exacerbations - Antibiotics,,2494741000033111,,*penicillin pills (sucrose),
Exacerbations - Antibiotics,,258741000033114,,ciproxin 500mg tablets (bayer plc),
Exacerbations - Antibiotics,,258841000033116,,ciprofloxacin 500mg tablets,
Exacerbations - Antibiotics,,258941000033112,,ciproxin 750mg tablets (bayer plc),
Exacerbations - Antibiotics,,259041000033115,,ciprofloxacin 750mg tablets,
Exacerbations - Antibiotics,,259341000033118,,ciprofloxacin 100mg tablets,
Exacerbations - Antibiotics,,259441000033112,,ciproxin 100mg tablets (bayer plc),
Exacerbations - Antibiotics,,259641000033114,,ciproxin 250mg tablets (bayer plc),
Exacerbations - Antibiotics,,260241000033112,,ciprofloxacin 250mg tablets,
Exacerbations - Antibiotics,,2637041000033111,,doxycycline tablets 20 mg,
Exacerbations - Antibiotics,,277841000033115,,clarithromycin 500mg modified-release tablets,
Exacerbations - Antibiotics,,278241000033118,,clarithromycin 125mg/5ml oral suspension,
Exacerbations - Antibiotics,,282141000033118,,clarithromycin 250mg granules sachets,
Exacerbations - Antibiotics,,2831741000033110,,cefuroxime tablets 500 mg,
Exacerbations - Antibiotics,,2831841000033117,,zinnat tablets 500 mg,
Exacerbations - Antibiotics,,285341000033110,,clarithromycin 500mg tablets,
Exacerbations - Antibiotics,,287441000033111,,clarithromycin 250mg tablets,
Exacerbations - Antibiotics,,2890241000033119,,moxifloxacin 400mg tablets,
Exacerbations - Antibiotics,,2890341000033112,,avelox 400mg tablets (bayer plc),
Exacerbations - Antibiotics,,3079141000033118,,amoxicillin 250mg capsules,
Exacerbations - Antibiotics,,3079241000033113,,amoxicillin 500mg capsules,
Exacerbations - Antibiotics,,3079641000033111,,amoxicillin 125mg/5ml oral suspension,
Exacerbations - Antibiotics,,3079741000033119,,amoxicillin 250mg/5ml oral suspension,
Exacerbations - Antibiotics,,3079841000033112,,amoxicillin 125mg/1.25ml oral suspension paediatric,
Exacerbations - Antibiotics,,3079941000033116,,amoxicillin 3g oral powder sachets sugar free,
Exacerbations - Antibiotics,,3080041000033117,,amoxicillin 125mg/5ml oral suspension sugar free,
Exacerbations - Antibiotics,,3080141000033118,,amoxicillin 250mg/5ml oral suspension sugar free,
Exacerbations - Antibiotics,,3084041000033111,,cefalexin 250mg capsules,
