Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
BMI - Height,1910931000006112,1910931000006108,1910931000006112,Reported height
BMI - Height,253669010,248333004,370729019,O/E - height
BMI - Height,253676017,248333004,370729019,O/E - height NOS
BMI - Height,5256151000006111,248333004,5256151000006111,Standing height
BMI - Height,923831000006115,923831000006104,923831000006115,O/E - height
FEV1,4588671000006119,165041004,1221361018,fev - forced expired volume
FEV1,764471000006117,165041004,256687019,forced expiratory volume - fev
FEV1,4588721000006111,165042006,2619112018,forced expiratory volume (fev) normal
FEV1,4588731000006114,165042006,2915219013,forced expiratory volume normal
FEV1,4588751000006119,165043001,2619113011,forced expiratory volume in one second (fev1)/forced vital capacity (fvc) ratio normal
FEV1,1761631000006119,1761631000006103,1761631000006119,fev1 after bronchial provocation test
FEV1,1761661000006111,1761661000006107,1761661000006111,fev1 before bronchial provocation test
FEV1,6000931000006116,310520004,454109018,expected forced expired volume in 1 second
FEV1,454110011,310520004,454110011,expected fev1
FEV1,6052331000006110,314979004,1490668019,spirometry reversibility test
FEV1,459417016,314979004,459417016,spirometry reversibility
FEV1,459418014,314980001,459418014,spirometry reversibility negative
FEV1,459419018,314981002,459419018,spirometry reversibility positive
FEV1,1780219015,401012008,1780219015,fev1 before bronchodilation
FEV1,6647401000006117,401012008,1787424017,forced expired volume in 1 second before bronchodilation
FEV1,1780220014,401013003,1780220014,fev1 after bronchodilation
FEV1,6647421000006110,401013003,1787425016,forced expired volume in 1 second after bronchodilation
FEV1,1780223011,401016006,1780223011,fev1 post steroids
FEV1,6647481000006114,401016006,1787426015,forced expired volume in 1 second post steroids
FEV1,1780316012,401115007,1780316012,fev1 pre steroids
FEV1,6648701000006114,401115007,1787444011,forced expired volume in 1 second pre steroids
FEV1,1141751000000110,445466003,2872069016,forced expired volume in 1 second reversibility
FEV1,3463571000006118,59328004,1231944015,fev1 - forced expired volume in 1 second
FEV1,764481000006119,59328004,498401010,forced expired volume in 1 second
FEV1,1865501000006114,862931000000108,2231361000000111,fev1 after change of bronchodilator
FEV1,951231000006116,951231000006100,951231000006116,forced expiratory volume 1 - fev1
FEV1 % predicted,1771021000006117,1771021000006101,1771021000006117,percentage predicted fev1 after exercise
FEV1 % predicted,1821541000006119,1821541000006103,1821541000006119,fev1 > 80% of predicted
FEV1 % predicted,1821551000006117,1821551000006101,1821551000006117,fev1 variability < 20%
FEV1 % predicted,1821561000006115,1821561000006104,1821561000006115,fev1 variability 20-30%
FEV1 % predicted,1821581000006113,1821581000006109,1821581000006113,fev1 60-80% of predicted
FEV1 % predicted,1821591000006111,1821591000006107,1821591000006111,fev1 variability > 30%
FEV1 % predicted,1821601000006115,1821601000006104,1821601000006115,fev1 < 60% of predicted
FEV1 % predicted,6027641000006113,313223002,2914358011,percent predicted forced expired volume in one second
FEV1 % predicted,457081010,313223002,457081010,percent predicted fev1
FEV1 % predicted,7337051000006118,447254005,1711691000000111,percentage predicted fev1 (forced expiratory volume in 1 second) after bronchodilation
FEV1 % predicted,1752221000006118,447254005,2884301017,percentage predicted fev1 after bronchodilation
