Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
Gastro-oesophageal reflux disease,2758911000006117,16331000,477741011,burning reflux
Gastro-oesophageal reflux disease,28383015,16761005,28383015,oesophagitis
Gastro-oesophageal reflux disease,302378011,16761005,28383015,other specified oesophagitis
Gastro-oesophageal reflux disease,302381018,16761005,28383015,oesophagitis nos
Gastro-oesophageal reflux disease,269069015,173704005,269069015,revision of antireflux operations
Gastro-oesophageal reflux disease,269073017,173704005,2791486011,other specified revision of antireflux operation
Gastro-oesophageal reflux disease,269074011,173704005,2791486011,revision of antireflux operation nos
Gastro-oesophageal reflux disease,302369017,196601009,302369017,gangrenous oesophagitis
Gastro-oesophageal reflux disease,302370016,196602002,302370016,phlegmonous oesophagitis
Gastro-oesophageal reflux disease,303321000000115,200151000000106,303321000000115,reflux cough
Gastro-oesophageal reflux disease,339001014,225587003,339001014,gastric reflux
Gastro-oesophageal reflux disease,5082541000006115,235595009,2535970019,gerd - gastro-esophageal reflux disease
Gastro-oesophageal reflux disease,5082441000006116,235595009,2642391013,gastrooesophageal reflux disease
Gastro-oesophageal reflux disease,5082451000006119,235595009,353135014,gastroesophageal reflux disease
Gastro-oesophageal reflux disease,5082461000006117,235595009,353136010,gastro-esophageal reflux
Gastro-oesophageal reflux disease,5082471000006112,235595009,353137018,gord - gastro-esophageal reflux disease
Gastro-oesophageal reflux disease,5082481000006110,235595009,353138011,gastro-esophageal reflux disease
Gastro-oesophageal reflux disease,5082491000006113,235595009,353139015,gor - gastro-esophageal reflux
Gastro-oesophageal reflux disease,5082501000006117,235595009,353141019,gastro-oesophageal reflux disease
Gastro-oesophageal reflux disease,353143016,235595009,353143016,gastro-oesophageal reflux
Gastro-oesophageal reflux disease,5082521000006110,235595009,353144010,gord - gastro-oesophageal reflux disease
Gastro-oesophageal reflux disease,5082531000006113,235595009,353145011,gor - gastro-oesophageal reflux
Gastro-oesophageal reflux disease,5082561000006116,235596005,353148013,gastro-oesophageal reflux disease with stricture
Gastro-oesophageal reflux disease,5082571000006111,235596005,353149017,gastro-esophageal reflux disease with stricture
