Category,BNF Chapter,Prodcode,dm+d code,Product Name,Drug Substance
Inhalers - SAMA,,3075441000033112,,ipratropium bromide 20micrograms/dose inhaler cfc free,
Inhalers - SAMA,,3075541000033113,,atrovent 20micrograms/dose inhaler cfc free (boehringer ingelheim ltd),
Inhalers - SAMA,,772541000033111,,ipratropium bromide 40micrograms/dose inhaler,
Inhalers - SAMA,,772641000033112,,ipratropium bromide 20micrograms/dose inhaler,
Inhalers - SAMA,,772841000033113,,ipratropium bromide 20micrograms/dose breath actuated inhaler,
Inhalers - SAMA,,772941000033117,,ipratropium bromide 40microgram inhalation powder capsules,
Inhalers - SAMA,,773041000033110,,ipratropium bromide 40microgram inhalation powder capsules with device,
Inhalers - SAMA,,88241000033118,,atrovent 20micrograms/dose inhaler (boehringer ingelheim ltd),
Inhalers - SAMA,,88341000033111,,atrovent 40microgram aerocaps (boehringer ingelheim ltd),
Inhalers - SAMA,,88441000033117,,atrovent 40microgram aerocaps with aerohaler (boehringer ingelheim ltd),
Inhalers - SAMA,,88541000033116,,atrovent 20micrograms/dose autohaler (boehringer ingelheim ltd),
Inhalers - SAMA,,89441000033110,,atrovent forte 40micrograms/dose inhaler (boehringer ingelheim ltd),
Inhalers - SABA,,1206041000033115,,salbutamol accuhaler 200 micrograms/dose,
Inhalers - SABA,,1206241000033111,,salbutamol aerosol inhalation 100 micrograms/metered inhalation,
Inhalers - SABA,,1207741000033115,,salbutamol autohaler 100 micrograms/puff,
Inhalers - SABA,,1221341000033118,,salamol easi-breathe breath-actuated inhaler 100 micrograms/puff,
Inhalers - SABA,,1221441000033112,,salbutamol 100micrograms/dose breath actuated inhaler,
Inhalers - SABA,,1221541000033113,,salbutamol breath-actuated inhaler 95 micrograms/dose,
Inhalers - SABA,,1222341000033110,,salbutamol 100micrograms/dose inhaler cfc free,
Inhalers - SABA,,1228341000033112,,salbutamol cyclocaps 200 micrograms,
Inhalers - SABA,,1228441000033118,,salbutamol cyclocaps 400 micrograms,
Inhalers - SABA,,1228841000033115,,salbutamol 200microgram inhalation powder blisters with device,
Inhalers - SABA,,1228941000033111,,salbutamol 400microgram inhalation powder blisters with device,
Inhalers - SABA,,1241241000033114,,salamol inhaler 100 micrograms/puff,
Inhalers - SABA,,1241341000033116,,salbulin 100micrograms/dose inhaler (3m health care ltd),
Inhalers - SABA,,1241441000033110,,salbutamol 100micrograms/dose inhaler,
Inhalers - SABA,,1241941000033117,,salbutamol inhaler with vortex generating actuator 100 micrograms/dose,
Inhalers - SABA,,1250141000033112,,salbutamol 200microgram inhalation powder blisters,
Inhalers - SABA,,1250241000033117,,salbutamol 400microgram inhalation powder blisters,
