Category,Medcode ID,SNOMED CT Concept ID,SNOMED CT Description ID,Term
Interstitial lung disease,311496011,10713006,311496011,Fibrosing alveolitis associated with rheumatoid arthritis
Interstitial lung disease,1786171000006118,129451001,1775408010,Respiratory bronchiolitis associated interstitial lung dis
Interstitial lung disease,287930013,187233002,287930013,Sarcoidosis of lung with sarcoidosis of lymph nodes
Interstitial lung disease,301575012,196028003,301575012,Chronic pulmonary fibrosis due to chemical fumes
Interstitial lung disease,621121000006112,196125002,301706014,Diffuse pulmonary fibrosis
Interstitial lung disease,301841015,205237003,314740018,[X]Hypersensitivity pneumonitis due to other organic dusts
Interstitial lung disease,301552017,22607003,37941013,Asbestosis NOS
Interstitial lung disease,37941013,22607003,37941013,Asbestosis
Interstitial lung disease,301758015,233703007,350185018,Interstitial lung disease NEC
Interstitial lung disease,301852014,233703007,350185018,[X]Other interstitial pulmonary diseases with fibrosis
Interstitial lung disease,1223250017,24369008,1223250017,Sarcoidosis of lung
Interstitial lung disease,40879015,24369008,40879015,Pulmonary sarcoidosis
Interstitial lung disease,211391000006118,266368002,396123011,Postinflammatory pulmonary fibrosis
Interstitial lung disease,301531013,37471005,178500017,Other allergic alveolitis NOS
Interstitial lung disease,301532018,37471005,178500017,Allergic alveolitis and pneumonitis NOS
Interstitial lung disease,301533011,37471005,178500017,Allergic extrinsic alveolitis NOS
Interstitial lung disease,477131000006116,37471005,178500017,Allergic alveolitis and pneumonitis NOS
Interstitial lung disease,301534017,37471005,189221016,Hypersensitivity pneumonitis NOS
Interstitial lung disease,2676188013,427123006,2676188013,Interstitial lung disease due to collagen vascular disease
Interstitial lung disease,79212010,47515009,79212010,Simple silicosis
Interstitial lung disease,83019014,49840000,83019014,Complicated silicosis
Interstitial lung disease,85960018,51615001,85960018,Pulmonary fibrosis
Interstitial lung disease,107470010,64667001,107470010,Interstitial pneumonia
Interstitial lung disease,301709019,700250006,2989716019,Idiopathic fibrosing alveolitis NOS
Interstitial lung disease,75302014,700250006,2989716019,Idiopathic fibrosing alveolitis
Interstitial lung disease,196654011,700250006,2989718018,Cryptogenic fibrosing alveolitis
Interstitial lung disease,1786131000006116,700250006,2989760019,Idiopathic pulmonary fibrosis
Interstitial lung disease,1747711000000111,711379004,3078136017,Interstitial lung disease due to connective tissue disease
Interstitial lung disease,556271000006115,71193007,1233362012,Chronic pulmonary fibrosis following radiation
Interstitial lung disease,474819014,719218000,3315464015,Cryptogenic organising pneumonia
Interstitial lung disease,474828010,719218000,3525380019,Bronchiolitis obliterans organising pneumonia
Interstitial lung disease,13455018,7548000,13455018,Rheumatic pneumonia
Interstitial lung disease,142162019,85761009,142162019,Byssinosis
