Category,BNF Chapter,Prodcode,dm+d code,Product Name,Drug Substance
Smoking cessation drugs - Nicotine,,1768241000033116,,Nicorette Inhalator Inhalation cartridge with mouthpiece (starter pack) 10 mg/cartridge,
Smoking cessation drugs - Nicotine,,1768341000033114,,Nicotine Inhalation cartridge with mouthpiece (starter pack) 10 mg/cartridge,
Smoking cessation drugs - Nicotine,,2280441000033111,,Nicotinell Chewing gum 2 mg,
Smoking cessation drugs - Nicotine,,2280541000033112,,Nicotinell Chewing gum 4 mg,
Smoking cessation drugs - Nicotine,,2280741000033116,,Nicotine Lozenges (Mint) Sugar Free 1 mg,
Smoking cessation drugs - Nicotine,,2654141000033118,,Niquitin Lozenges 2 mg,
Smoking cessation drugs - Nicotine,,2654241000033113,,Niquitin Lozenges 4 mg,
Smoking cessation drugs - Nicotine,,2795441000033114,,Nicotine Chewing gum (mint) Sugar Free 4 mg,
Smoking cessation drugs - Nicotine,,2795641000033111,,Nicotine Chewing gum (mint) Sugar Free 2 mg,
Smoking cessation drugs - Nicotine,,2975241000033114,,Nicotine Lozenges (Mint) Sugar Free 2 mg,
Smoking cessation drugs - Nicotine,,2975341000033116,,Nicotine Lozenges (Mint) Sugar Free 4 mg,
Smoking cessation drugs - Nicotine,,4186741000033113,,"Nicorette Chewing gum Freshfruit, 2 mg",
Smoking cessation drugs - Nicotine,,4186841000033115,,"Nicorette Chewing gum Freshfruit, 4 mg",
Smoking cessation drugs - Nicotine,,4188341000033113,,Nicotine Lozenges Sugar Free 1 mg,
Smoking cessation drugs - Nicotine,,4500641000033111,,"Nicorette Chewing gum Cinnamint, 2 mg",
Smoking cessation drugs - Nicotine,,4500741000033119,,"Nicorette Chewing gum Cinnamint, 4 mg",
Smoking cessation drugs - Nicotine,,968441000033111,,Nicorette Chewing gum 2 mg,
Smoking cessation drugs - Nicotine,,968541000033112,,Nicorette Chewing gum 4 mg,
Smoking cessation drugs - Nicotine,,970341000033114,,Nicorette Inhalator Inhalation cartridge with mouthpiece (refill) 10 mg/cartridge,
Smoking cessation drugs - Nicotine,,970441000033115,,Nicotine Inhalation cartridge with mouthpiece (refill) 10 mg/cartridge,
Smoking cessation drugs - Nicotine,,978141000033114,,Nicabate Transdermal patches 14 mg,
Smoking cessation drugs - Nicotine,,978241000033119,,Nicabate Transdermal patches 21 mg,
Smoking cessation drugs - Nicotine,,978341000033112,,Nicabate Transdermal patches 7 mg,
Smoking cessation drugs - Nicotine,,978441000033118,,Niconil Transdermal patches 11 mg/24 hrs,
Smoking cessation drugs - Nicotine,,978541000033117,,Niconil Transdermal patches 22 mg/24 hrs,
Smoking cessation drugs - Nicotine,,4270541000033111,10143711000001104,Boots NicAssist 5mg patches (The Boots Company Plc),
Smoking cessation drugs - Nicotine,,4270341000033116,10143911000001102,Boots NicAssist 10mg patches (The Boots Company Plc),
Smoking cessation drugs - Nicotine,,4270441000033110,10144111000001103,Boots NicAssist 15mg patches (The Boots Company Plc),
Smoking cessation drugs - Nicotine,,9599141000033110,11548311000001106,Nicorette Fruitfusion 2mg medicated chewing gum (McNeil Products Ltd),
Smoking cessation drugs - Nicotine,,9603241000033114,11548611000001101,Nicorette Fruitfusion 4mg medicated chewing gum (McNeil Products Ltd),
Smoking cessation drugs - Nicotine,,4213341000033116,11811611000001101,Nicopatch 7mg/24hours transdermal patches (Pierre Fabre Ltd),
Smoking cessation drugs - Nicotine,,4213441000033110,11811811000001102,Nicopatch 14mg/24hours transdermal patches (Pierre Fabre Ltd),
Smoking cessation drugs - Nicotine,,4213541000033111,11812011000001100,Nicopatch 21mg/24hours transdermal patches (Pierre Fabre Ltd),
Smoking cessation drugs - Nicotine,,4419441000033114,13104011000001109,Nicopass 1.5mg Liquorice Mint lozenges (Pierre Fabre Ltd),
Smoking cessation drugs - Nicotine,,4419541000033110,13105311000001106,Nicopass 1.5mg Fresh Mint lozenges (Pierre Fabre Ltd),
Smoking cessation drugs - Nicotine,,4958241000033113,13113011000001109,Nicotine 1.5mg lozenges sugar free,
Smoking cessation drugs - Nicotine,,4816941000033118,14752711000001102,NiQuitin Pre-Quit Mint 4mg lozenges (Omega Pharma Ltd),
Smoking cessation drugs - Nicotine,,4817841000033112,14979111000001100,Nicorette invisi 10mg/16hours patches (McNeil Products Ltd),
Smoking cessation drugs - Nicotine,,4817941000033116,14979311000001103,Nicorette invisi 15mg/16hours patches (McNeil Products Ltd),
Smoking cessation drugs - Nicotine,,4818041000033118,14979811000001107,Nicorette invisi 25mg/16hours patches (McNeil Products Ltd),
Smoking cessation drugs - Nicotine,,4817541000033110,14984411000001104,Nicotine 25mg/16hours transdermal patches,
Smoking cessation drugs - Nicotine,,4958041000033117,15244211000001102,Nicorette Icy White 2mg medicated chewing gum (McNeil Products Ltd),
