Category,Medcode,Read V2 Code,Read Term
Coronary heart disease,35674,14A3.00,H/O: myocardial infarct <60
Coronary heart disease,40399,14A4.00,H/O: myocardial infarct >60
Coronary heart disease,50372,14AH.00,H/O: Myocardial infarction in last year
Coronary heart disease,57062,14AJ.00,H/O: Angina in last year
Coronary heart disease,18134,182A.00,Chest pain on exertion
Coronary heart disease,103655,187..00,Frequency of angina
Coronary heart disease,35287,322Z.00,ECG: myocardial ischaemia NOS
Coronary heart disease,42104,32E4.00,ECG: S-T depression
Coronary heart disease,39584,3889.00,Euroscore for angina
Coronary heart disease,52637,388E.00,Canadian Cardiovascular Society classification of angina
Coronary heart disease,57962,388F.00,Cardiovascular Limitations and Symptoms Profile angina score
Coronary heart disease,1021,5543.00,Coronary arteriograph.abnormal
Coronary heart disease,58135,5C11.00,Radionuclide heart study abnormal
Coronary heart disease,107967,661M000,Angina self-management plan agreed
Coronary heart disease,109391,661N000,Angina self-management plan review
Coronary heart disease,13185,662K.00,Angina control
Coronary heart disease,19542,662K000,Angina control - good
Coronary heart disease,15373,662K100,Angina control - poor
Coronary heart disease,14782,662K200,Angina control - improving
Coronary heart disease,29300,662K300,Angina control - worsening
Coronary heart disease,15349,662Kz00,Angina control NOS
Coronary heart disease,5904,792..00,Coronary artery operations
Coronary heart disease,737,792..11,Coronary artery bypass graft operations
Coronary heart disease,18249,7920.00,Saphenous vein graft replacement of coronary artery
Coronary heart disease,8312,7920.11,Saphenous vein graft bypass of coronary artery
Coronary heart disease,8679,7920000,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,7634,7920100,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,7442,7920200,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,11610,7920300,Saphenous vein graft replacement of four+ coronary arteries
Coronary heart disease,7137,7920y00,Saphenous vein graft replacement of coronary artery OS
Coronary heart disease,51515,7920z00,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,9414,7921.00,Other autograft replacement of coronary artery
Coronary heart disease,10209,7921200,Autograft replacement of three coronary arteries NEC
Coronary heart disease,32651,7922.11,Allograft bypass of coronary artery
Coronary heart disease,33461,7924.00,Revision of bypass for coronary artery
Coronary heart disease,5744,7927500,Open angioplasty of coronary artery
Coronary heart disease,2901,7928.00,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,18670,7928000,Percut transluminal balloon angioplasty one coronary artery
Coronary heart disease,33735,7928100,Percut translum balloon angioplasty mult coronary arteries
Coronary heart disease,42462,7928200,Percut translum balloon angioplasty bypass graft coronary a
Coronary heart disease,732,7928z00,Transluminal balloon angioplasty of coronary artery NOS
Coronary heart disease,22828,7929000,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,33650,7929100,Percut transluminal coronary thrombolysis with streptokinase
Coronary heart disease,8942,7929400,Insertion of coronary artery stent
Coronary heart disease,42304,7929500,Insertion of drug-eluting coronary artery stent
Coronary heart disease,44585,792Bz00,Repair of coronary artery NOS
Coronary heart disease,34963,792D.00,Other bypass of coronary artery
Coronary heart disease,3159,792Dy00,Other specified other bypass of coronary artery
Coronary heart disease,33471,792Dz00,Other bypass of coronary artery NOS
Coronary heart disease,105184,792E.00,Percutaneous coronary intervention
Coronary heart disease,31571,792y.00,Other specified operations on coronary artery
Coronary heart disease,10603,792z.00,Coronary artery operations NOS
Coronary heart disease,43939,793G.00,Perc translumin balloon angioplasty stenting coronary artery
Coronary heart disease,60067,793G000,Perc translum ball angio insert 1-2 drug elut stents cor art
Coronary heart disease,87849,793G100,Perc tran ball angio ins 3 or more drug elut stents cor art
Coronary heart disease,85947,793G200,Perc translum balloon angioplasty insert 1-2 stents cor art
Coronary heart disease,61208,793Gz00,Perc translum balloon angioplasty stenting coronary art NOS
Coronary heart disease,45960,8B27.00,Antianginal therapy
Coronary heart disease,240,G3...00,Ischaemic heart disease
Coronary heart disease,24783,G3...11,Arteriosclerotic heart disease
Coronary heart disease,20416,G3...12,Atherosclerotic heart disease
Coronary heart disease,1792,G3...13,IHD - Ischaemic heart disease
Coronary heart disease,241,G30..00,Acute myocardial infarction
Coronary heart disease,13566,G30..11,Attack - heart
Coronary heart disease,2491,G30..12,Coronary thrombosis
Coronary heart disease,30421,G30..13,Cardiac rupture following myocardial infarction (MI)
Coronary heart disease,1204,G30..14,Heart attack
Coronary heart disease,1677,G30..15,MI - acute myocardial infarction
Coronary heart disease,13571,G30..16,Thrombosis - coronary
Coronary heart disease,17689,G30..17,Silent myocardial infarction
Coronary heart disease,12139,G300.00,Acute anterolateral infarction
Coronary heart disease,5387,G301.00,Other specified anterior myocardial infarction
Coronary heart disease,40429,G301000,Acute anteroapical infarction
Coronary heart disease,17872,G301100,Acute anteroseptal infarction
Coronary heart disease,14897,G301z00,Anterior myocardial infarction NOS
Coronary heart disease,8935,G302.00,Acute inferolateral infarction
Coronary heart disease,29643,G303.00,Acute inferoposterior infarction
Coronary heart disease,23892,G304.00,Posterior myocardial infarction NOS
Coronary heart disease,14898,G305.00,Lateral myocardial infarction NOS
Coronary heart disease,63467,G306.00,True posterior myocardial infarction
Coronary heart disease,3704,G307.00,Acute subendocardial infarction
Coronary heart disease,9507,G307000,Acute non-Q wave infarction
Coronary heart disease,10562,G307100,Acute non-ST segment elevation myocardial infarction
Coronary heart disease,1678,G308.00,Inferior myocardial infarction NOS
Coronary heart disease,30330,G309.00,Acute Q-wave infarct
Coronary heart disease,17133,G30A.00,Mural thrombosis
Coronary heart disease,32854,G30B.00,Acute posterolateral myocardial infarction
Coronary heart disease,29758,G30X.00,Acute transmural myocardial infarction of unspecif site
Coronary heart disease,12229,G30X000,Acute ST segment elevation myocardial infarction
Coronary heart disease,34803,G30y.00,Other acute myocardial infarction
Coronary heart disease,28736,G30y000,Acute atrial infarction
Coronary heart disease,62626,G30y100,Acute papillary muscle infarction
Coronary heart disease,41221,G30y200,Acute septal infarction
Coronary heart disease,46017,G30yz00,Other acute myocardial infarction NOS
Coronary heart disease,14658,G30z.00,Acute myocardial infarction NOS
Coronary heart disease,27951,G31..00,Other acute and subacute ischaemic heart disease
Coronary heart disease,23579,G310.00,Postmyocardial infarction syndrome
Coronary heart disease,15661,G310.11,Dressler's syndrome
Coronary heart disease,36523,G311.00,Preinfarction syndrome
