Category,Medcode,Read V2 Code,Read Term
Depression,324,,Depressive disorder NEC
Depression,543,,[X]Depression NOS
Depression,595,,Endogenous depression
Depression,655,,Anxiety with depression
Depression,1055,,Agitated depression
Depression,1131,,Neurotic depression reactive type
Depression,1533,,Brief depressive reaction
Depression,2560,,Depressive psychoses
Depression,2639,,Postnatal depression
Depression,2923,,Puerperal depression
Depression,2970,,"[X]Depressive episode, unspecified"
Depression,2972,,Postviral depression
Depression,3291,,[X]Depressive disorder NOS
Depression,3292,,[X]Recurrent depressive disorder
Depression,4323,,Chronic depression
Depression,4639,,[X]Depressive episode
Depression,4979,,[X]Postpartum depression NOS
Depression,5879,,Agitated depression
Depression,5987,,[X] Reactive depression NOS
Depression,6482,,Recurrent depression
Depression,6546,,Endogenous depression first episode
Depression,6854,,[X]Other depressive episodes
Depression,6932,,Endogenous depression - recurrent
Depression,6950,,Endogenous depression first episode
Depression,7011,,Single major depressive episode NOS
Depression,7604,,[X]Single episode of reactive depression
Depression,7737,,[X]Neurotic depression
Depression,7749,,[X]Mild anxiety depression
Depression,7953,,[X]Dysthymia
Depression,8478,,Reactive depressive psychosis
Depression,8584,,[X]Depressive neurosis
Depression,8826,,[X]SAD - Seasonal affective disorder
Depression,8851,,[X]Recurrent episodes of depressive reaction
Depression,8902,,[X]Recurrent episodes of reactive depression
Depression,9055,,[X]Single episode of depressive reaction
Depression,9183,,Masked depression
Depression,9211,,[X]Moderate depressive episode
Depression,9667,,[X]Severe depressive episode without psychotic symptoms
Depression,10290,,[X]Depressive personality disorder
Depression,10455,,Depressive personality disorder
Depression,10610,,Single major depressive episode
Depression,10667,,[X]Mild depression
Depression,10720,,[X]Atypical depression
Depression,10825,,Seasonal affective disorder
Depression,11055,,"[X]Schizoaffective disorder, depressive type"
Depression,11252,,"[X]Major depression, recurrent without psychotic symptoms"
Depression,11329,,[X]Endogenous depression without psychotic symptoms
Depression,11717,,[X]Mild depressive episode
Depression,11913,,[X]Mixed anxiety and depressive disorder
Depression,12099,,[X]Severe depressive episode with psychotic symptoms
Depression,12122,,Depression medication review
Depression,12399,,Depression annual review
Depression,13307,,[X]Postnatal depression NOS
Depression,14709,,"Recurrent major depressive episodes, moderate"
Depression,15099,,Recurrent major depressive episode
Depression,15155,,"Single major depressive episode, moderate"
Depression,15219,,"Single major depressive episode, severe, without psychosis"
Depression,15220,,[X]Persistant anxiety depression
Depression,16506,,"Single major depressive episode, mild"
Depression,16632,,Prolonged depressive reaction
Depression,16861,,[X]Recurrent severe episodes of psychotic depression
Depression,17770,,Psychotic reactive depression
Depression,18510,,[X]Single episode of psychogenic depression
Depression,19054,,[X]Recurrent brief depressive episodes
Depression,19696,,[X]Recurrent episodes of psychogenic depression
Depression,20785,,[X]Post-schizophrenic depression
Depression,21887,,Senile dementia with depression
Depression,22806,,[X]Single episode major depression w'out psychotic symptoms
Depression,23731,,[X]Endogenous depression with psychotic symptoms
Depression,24112,,[X]Single episode of psychotic depression
Depression,24117,,[X]Single episode of major depression and psychotic symptoms
Depression,24171,,"Recurrent major depressive episodes, severe, with psychosis"
Depression,25563,,Recurrent major depressive episode NOS
Depression,25697,,"Recurrent major depressive episodes, severe, no psychosis"
Depression,27491,,Atypical depressive disorder
Depression,27677,,Presenile dementia with depression
Depression,27759,,"[X] Senile dementia, depressed or paranoid type"
Depression,28248,,[X]Prolonged single episode of reactive depression
Depression,28677,,"[X]Manic-depress psychosis,depressed type+psychotic symptoms"
Depression,28756,,[X]Seasonal depressive disorder
Depression,28863,,[X]Single episode of reactive depressive psychosis
Depression,29342,,"Recurrent major depressive episodes, mild"
Depression,29451,,"[X]Manic-depress psychosis,depressd,no psychotic symptoms"
Depression,29520,,"[X]Recurrent depressive disorder, current episode moderate"
Depression,29527,,[D]Postoperative depression
Depression,29784,,"[X]Recurrent depressive disorder, current episode mild"
Depression,30405,,Depression interim review
Depression,31757,,[X]Recurr severe episodes/psychogenic depressive psychosis
Depression,32159,,"Single major depressive episode, severe, with psychosis"
Depression,32941,,[X]Recurr severe episodes/major depression+psychotic symptom
Depression,33469,,[X]Recurr depress disorder cur epi severe without psyc sympt
Depression,34390,,"Single major depressive episode, unspecified"
Depression,35274,,"[X]Schizoaffective psychosis, depressive type"
Depression,35671,,"Recurrent major depressive episodes, unspecified"
Depression,36246,,Brief depressive reaction NOS
Depression,36616,,[X]Monopolar depression NOS
Depression,37764,,[X]Recurrent severe episodes/reactive depressive psychosis
Depression,41022,,"[X]Schizophreniform psychosis, depressive type"
Depression,41089,,Senile dementia with depressive or paranoid features NOS
Depression,41989,,[X]Single episode agitated depressn w'out psychotic symptoms
Depression,43292,,Arteriosclerotic dementia with depression
Depression,44300,,"[X]Recurrent depressive disorder, unspecified"
Depression,44674,,Senile dementia with depressive or paranoid features
Depression,44848,,Depression management programme
Depression,47009,,[X]Recurrent depress disorder cur epi severe with psyc symp
Depression,47731,,[X]Other recurrent depressive disorders
Depression,52678,,[X]Single episode of psychogenic depressive psychosis
Depression,56609,,[X]Single episode of masked depression NOS
Depression,59386,,[X]Single episode vital depression w'out psychotic symptoms
Depression,73991,,"[X]Vital depression, recurrent without psychotic symptoms"
Depression,98252,,"[X]Major depression, moderately severe"
Depression,98346,,"[X]Major depression, mild"
Depression,98414,,"[X]Major depression, severe without psychotic symptoms"
Depression,98417,,"[X]Major depression, severe with psychotic symptoms"
