Category,Medcode,Read V2 Code,Read Term
Exacerbation,1446,,Acute exacerbation of chronic obstructive airways disease
Exacerbation,7884,,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
Exacerbation - LRTI,8980,16L..00,Influenza-like symptoms
Exacerbation - LRTI,98125,1J72.00,Suspected influenza A virus subtype H1N1 infection
Exacerbation - LRTI,98115,1J72.11,Suspected swine influenza
Exacerbation - LRTI,98103,1W0..00,Possible influenza A virus H1N1 subtype
Exacerbation - LRTI,63697,43jQ.00,Avian influenza virus nucleic acid detection
Exacerbation - LRTI,94130,43jx.00,Parainfluenza type 1 nucleic acid detection
Exacerbation - LRTI,94858,43jy.00,Parainfluenza type 2 nucleic acid detection
Exacerbation - LRTI,91123,43jz.00,Parainfluenza type 3 nucleic acid detection
Exacerbation - LRTI,98143,4J3L.00,Influenza A virus H1N1 subtype detected
Exacerbation - LRTI,96019,4JU0.00,Influenza H1 virus detected
Exacerbation - LRTI,102918,4JU1.00,Influenza H2 virus detected
Exacerbation - LRTI,96018,4JU2.00,Influenza H3 virus detected
Exacerbation - LRTI,98156,4JU3.00,Influenza H5 virus detected
Exacerbation - LRTI,97062,4JU4.00,"Influenza A virus, other or untyped strain detected"
Exacerbation - LRTI,96017,4JU5.00,Influenza B virus detected
Exacerbation - LRTI,96286,4JUF.00,Human parainfluenza virus detected
Exacerbation - LRTI,29669,H06..00,Acute bronchitis and bronchiolitis
Exacerbation - LRTI,312,H060.00,Acute bronchitis
Exacerbation - LRTI,5978,H060.11,Acute wheezy bronchitis
Exacerbation - LRTI,101775,H060100,Acute membranous bronchitis
Exacerbation - LRTI,71370,H060200,Acute pseudomembranous bronchitis
Exacerbation - LRTI,11072,H060300,Acute purulent bronchitis
Exacerbation - LRTI,21145,H060400,Acute croupous bronchitis
Exacerbation - LRTI,9043,H060600,Acute pneumococcal bronchitis
Exacerbation - LRTI,43362,H060700,Acute streptococcal bronchitis
Exacerbation - LRTI,21492,H060800,Acute haemophilus influenzae bronchitis
