Category,BNF Chapter,Prodcode,dm+d code,Product Name,Drug Substance
Exacerbations - Antibiotics,,438,,erythromycin stearate 250mg tablets,erythromycin stearate
Exacerbations - Antibiotics,,439,,amoxicillin with clavulanic acid dispersible tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,480,,erythrocin 250mg tablet (abbott laboratories ltd),erythromycin stearate
Exacerbations - Antibiotics,,1072,,erythrocin 500 500mg tablet (abbott laboratories ltd),erythromycin stearate
Exacerbations - Antibiotics,,1391,,amoxicillin 250mg / clavulanic acid 125mg tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,1393,,amoxycillin fiztab 250 mg tab,
Exacerbations - Antibiotics,,1570,,amoxycillin 500 mg tab,
Exacerbations - Antibiotics,,2350,,erythromycin stearate 500mg tablets,erythromycin stearate
Exacerbations - Antibiotics,,2902,,amoxycillin fiztab 125 mg tab,
Exacerbations - Antibiotics,,4895,,benzoyl peroxide 5% / erythromycin 3% gel,benzoyl peroxide/erythromycin
Exacerbations - Antibiotics,,7581,,amoxycillin 125mg/62mg clavulanic acid syr,
Exacerbations - Antibiotics,,7592,,amoxycillin 125 mg cap,
Exacerbations - Antibiotics,,7636,,amoxicillin 250mg / clavulanic acid 62mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,8906,,amoxicillin 125mg / clavulanic acid 31mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,9656,,erythromycin 2% gel,erythromycin
Exacerbations - Antibiotics,,9925,,clavulanic acid 125mg with amoxicillin 250mg tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,12248,,cefalexin 125mg/1.25ml paediatric drops,cefalexin
Exacerbations - Antibiotics,,13216,,amoxicillin 500mg / clavulanic acid 125mg tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,13239,,clavulanic acid 125mg with amoxicillin 500mg tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,13262,,amoxicillin 250mg / clavulanic acid 62mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,13285,,amoxicillin 125mg / clavulanic acid 31mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,15192,,amoxicillin 400mg / clavulanic acid 57mg/5ml sugar free oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,16612,,clavulanic acid 62mg with amoxicillin 250mg/5ml sugar free suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,17150,,ceporex 125mg/1.25ml drops (glaxo laboratories ltd),cefalexin
Exacerbations - Antibiotics,,19795,,amoxycillin 250mg/clavulanic acid 125mg,
Exacerbations - Antibiotics,,20432,,clavulanic acid 57mg with amoxicillin 400mg/5ml sugar free suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,21775,,clavulanic acid 31mg with amoxicillin 125mg/5ml sugar free oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,21982,,amoxycillin trihydrate sachet,
Exacerbations - Antibiotics,,22293,,amoxycillin trihydrate sachet,
Exacerbations - Antibiotics,,22469,,amoxycillin 125mg/31mg clavulanic acid,
Exacerbations - Antibiotics,,23244,,ilotycin 250mg tablet (eli lilly and company ltd),erythromycin
Exacerbations - Antibiotics,,23954,,erythrolar 500mg tablet (lagap),erythromycin stearate
Exacerbations - Antibiotics,,24006,,clavulanic acid 31mg with amoxcillin 125mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,24093,,clavulanic acid with amoxicillin dispersible tablets,amoxicillin trihydrate
Exacerbations - Antibiotics,,25017,,tetracycline,
Exacerbations - Antibiotics,,25034,,amoxycillin 125mg/62mg clavulanic acid,
Exacerbations - Antibiotics,,27768,,erythrolar 250mg tablet (lagap),erythromycin stearate
Exacerbations - Antibiotics,,27886,,amoxycillin 250/clavulanic acid 125 disp,
Exacerbations - Antibiotics,,27897,,amoxycillin,
Exacerbations - Antibiotics,,31571,,amoxycillin,
Exacerbations - Antibiotics,,32505,,amoxycillin,
Exacerbations - Antibiotics,,39613,,erythrocin 500 tablets (amdipharm plc),erythromycin stearate
Exacerbations - Antibiotics,,39616,,erythrocin 250 tablets (amdipharm plc),erythromycin stearate
Exacerbations - Antibiotics,,42485,,clavulanic acid 62mg with amoxicillin 250mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,,49301,,erythrolar 500mg tablets (ennogen pharma ltd),erythromycin stearate
Exacerbations - Antibiotics,,50205,,erythrolar 250mg tablets (ennogen pharma ltd),erythromycin stearate
Exacerbations - Antibiotics,,50223,,erythrocin 500 tablets (stephar (u.k.) ltd),erythromycin stearate
Exacerbations - Antibiotics,,50693,,erythrocin 500 tablets (sigma pharmaceuticals plc),erythromycin stearate
Exacerbations - Antibiotics,,51984,,erythrocin 500 tablets (mawdsley-brooks & company ltd),erythromycin stearate
Exacerbations - Antibiotics,,53004,,erythrocin 500 tablets (necessity supplies ltd),erythromycin stearate
Exacerbations - Antibiotics,,53449,,erythrocin 500 tablets (lexon (uk) ltd),erythromycin stearate
Exacerbations - Antibiotics,,53942,,amoxicillin 125mg / clavulanic acid 62.5mg/5ml oral suspension,amoxicillin trihydrate
Exacerbations - Antibiotics,antipseudomonal penicillins,16594,135235001000027104,piperacillin 1g/vial injection,piperacillin sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,21737,135245001000027103,piperacillin 2g/vial injection,piperacillin sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,31174,135255001000027100,piperacillin 4g/infusion bottle infusion,piperacillin sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,72041,16733411000001109,piperacillin 2g / tazobactam 250mg powder for solution for injection vials (a a h pharmaceuticals ltd),piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,694,191335001000027102,tazocin 4.5g powder for solution for injection (pfizer consumer healthcare ltd),piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,17323,323671007,piperacillin 4g / tazobactam 500mg powder for solution for infusion vials,piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,693,323673005,piperacillin 2g / tazobactam 250mg powder for solution for injection vials,piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,71473,34755211000001102,piperacillin 2g / tazobactam 250mg powder for solution for infusion vials (bowmed ibisqus ltd),piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,19368,4437611000001103,tazocin 2.25g powder for solution for injection vials (pfizer ltd),piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antipseudomonal penicillins,49724,4437911000001109,tazocin 4.5g powder for solution for infusion vials (pfizer ltd),piperacillin sodium/tazobactam sodium
Exacerbations - Antibiotics,antituberculosis drugs,26776,118935001000027107,isoniazid with rifampicin 100mg + 150mg tablet,rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,16802,118945001000027108,isoniazid with rifampicin 150mg + 300mg tablet,rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,75084,13372911000001104,rifampicin 150mg/5ml oral solution,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,72685,13373011000001107,rifampicin 150mg/5ml oral suspension,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,9691,140145001000027106,rifampicin with isoniazid & pyrazinamide tablet,pyrazinamide/rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,57602,14658711000001105,rifinah 300mg/150mg tablets (sigma pharmaceuticals plc),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,58343,16234411000001100,rifinah 300mg/150mg tablets (lexon (uk) ltd),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,21367,189211000001106,rifadin 150mg capsules (sanofi),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,13908,217011000001109,rifadin 100mg/5ml syrup (sanofi),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,61560,21719811000001102,voractiv tablets (thornton & ross ltd),ethambutol hydrochloride/rifampicin/pyrazinamide/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,73452,21880811000001106,rifampicin 150mg capsules (waymade healthcare plc),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,46917,261211000001105,rifampicin 300mg capsules (mylan),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,7818,266211000001102,rifater tablets (sanofi),pyrazinamide/rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,240,324479008,rifampicin 150mg capsules,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,1531,324480006,rifampicin 300mg capsules,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,12329,324500006,rifampicin 150mg / isoniazid 100mg tablets,rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,8613,324501005,rifampicin 300mg / isoniazid 150mg tablets,rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,70641,346672000,generic rifater tablets,pyrazinamide/rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,1345,35934411000001101,rifampicin 100mg/5ml oral suspension,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,11226,35934511000001102,rifampicin 600mg powder and solvent for solution for infusion vials,rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,34653,406611000001100,rifampicin 300mg capsules (a a h pharmaceuticals ltd),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,3403,42325001000027100,rifinah 150 tablet (aventis pharma),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,4522,42335001000027103,rifinah 300 tablet (aventis pharma),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,12437,432711000001104,rimactazid 300 tablets (movianto uk ltd),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,32407,4401611000001102,rifadin 600mg powder and solvent for solution for infusion vials (sanofi),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,16639,457911000001104,rifadin 300mg capsules (sanofi),rifampicin
Exacerbations - Antibiotics,antituberculosis drugs,39020,489211000001107,rifinah 300mg/150mg tablets (sanofi),rifampicin/isoniazid
Exacerbations - Antibiotics,antituberculosis drugs,2798,497511000001104,rimactane 100mg/5ml syrup (movianto uk ltd),rifampicin
