Category,Medcode,Read V2 Code,Read Term
Gastro-oesophageal reflux disease,19470,171j.00,reflux cough
Gastro-oesophageal reflux disease,7577,1957.00,gastric reflux
Gastro-oesophageal reflux disease,592,j101.00,oesophagitis
Gastro-oesophageal reflux disease,2535,j101100,reflux oesophagitis
Gastro-oesophageal reflux disease,15054,j101111,acid reflux
Gastro-oesophageal reflux disease,7104,j101112,gastro-oesophageal reflux with oesophagitis
Gastro-oesophageal reflux disease,16605,j101113,oesophageal reflux with oesophagitis
Gastro-oesophageal reflux disease,15579,j101114,peptic oesophagitis
Gastro-oesophageal reflux disease,16450,j101115,regurgitant oesophagitis
Gastro-oesophageal reflux disease,14760,j101z00,oesophagitis nos
Gastro-oesophageal reflux disease,25610,j10y400,oesopheal reflux without mention of oesophagitis
Gastro-oesophageal reflux disease,1327,j10y411,oesophageal reflux
Gastro-oesophageal reflux disease,984,j10y412,gastro-oesophageal reflux
Gastro-oesophageal reflux disease,2281,j10y413,acid reflux
