Category,Medcode,Read V2 Code,Read Term
Heart failure,9913,1O1..00,heart failure confirmed
Heart failure,7251,33BA.00,Impaired Left Ventricular Function
Heart failure,11284,585f.00,Echocardiogram shows left ventricular systolic dysfunction
Heart failure,11351,585g.00,Echocardiogram shows left ventricular diastolic dysfunction
Heart failure,12366,662T.00,congestive heart failure monitoring
Heart failure,30779,662W.00,heart failure annual review
Heart failure,18853,662f.00,New York Heart Association classification - class I
Heart failure,13189,662g.00,New York Heart Association classification - class II
Heart failure,19066,662h.00,New York Heart Association classification - class III
Heart failure,51214,662i.00,New York Heart Association classification - class IV
Heart failure,83502,662p.00,heart failure 6 month review
Heart failure,24503,8B29.00,Cardiac failure therapy
Heart failure,32945,8CL3.00,heart failure care plan discussed with patient
Heart failure,103732,8CMK.00,has heart failure management plan
Heart failure,106008,8CMW800,heart failure clinical pathway
Heart failure,105542,8CeC.00,preferred place of care for next exacerbation heart failure
Heart failure,32898,8H2S.00,admit heart failure emergency
Heart failure,17851,8HBE.00,heart failure follow-up
Heart failure,12627,9N0k.00,seen in heart failure clinic
Heart failure,22262,G1yz100,Rheumatic left ventricular failure
Heart failure,72668,G210100,malignant hypertensive heart disease with ccf
Heart failure,52127,G211100,benign hypertensive heart disease with ccf
Heart failure,62718,G21z100,hypertensive heart disease nos with ccf
Heart failure,21837,G232.00,hypertensive heart&renal dis wth (congestive) heart failure
Heart failure,57987,G234.00,Hyperten heart&renal dis+both(congestv)heart and renal fail
Heart failure,8464,G400.00,Acute cor pulmonale
Heart failure,5695,G41z.11,Chronic cor pulmonale
Heart failure,2062,G58..00,heart failure
Heart failure,1223,G58..11,cardiac failure
Heart failure,398,G580.00,congestive heart failure
Heart failure,2906,G580.11,congestive cardiac failure
Heart failure,10079,G580.12,Right heart failure
Heart failure,10154,G580.13,Right ventricular failure
Heart failure,9524,G580.14,Biventricular failure
Heart failure,23707,G580000,acute congestive heart failure
Heart failure,32671,G580100,chronic congestive heart failure
Heart failure,27884,G580200,decompensated cardiac failure
Heart failure,11424,G580300,compensated cardiac failure
Heart failure,94870,G580400,congestive heart failure due to valvular disease
Heart failure,884,G581.00,left ventricular failure
Heart failure,5942,G581.13,impaired left ventricular function
Heart failure,5255,G581000,acute left ventricular failure
Heart failure,27964,G582.00,acute heart failure
Heart failure,101138,G583.00,heart failure with normal ejection fraction
Heart failure,101137,G583.11,hfnef - heart failure with normal ejection fraction
Heart failure,106897,G583.12,heart failure with preserved ejection fraction
Heart failure,104275,G584.00,Right ventricular failure
Heart failure,4024,G58z.00,heart failure nos
Heart failure,17278,G58z.12,cardiac failure nos
Heart failure,8966,G5yy900,Left ventricular systolic dysfunction
Heart failure,12550,G5yyA00,Left ventricular diastolic dysfunction
Heart failure,107397,G5yyD00,Left ventricular cardiac dysfunction
Heart failure,66306,SP11111,heart failure as a complication of care
Heart failure,26242,Zrad.00,New York Heart Assoc classification heart failure symptoms
