Category,BNF Chapter,Prodcode,dm+d code,Product Name,Drug Substance
Inhalers - SABA,bronchodilators,31,,ventolin 100microgram/inhalation inhalation powder (glaxo wellcome uk ltd),salbutamol
Inhalers - SABA,bronchodilators,862,,salbulin inhalation powder (3m health care ltd),salbutamol
Inhalers - SABA,bronchodilators,898,,ventolin evohaler 100 100microgram/inhalation pressurised inhalation (glaxo wellcome uk ltd),salbutamol sulfate
Inhalers - SABA,bronchodilators,907,,bricanyl turbohaler 500 500microgram turbohaler (astrazeneca uk ltd),terbutaline sulfate
Inhalers - SABA,bronchodilators,957,,salamol easi-breathe 100microgram/actuation pressurised inhalation (ivax pharmaceuticals uk ltd),salbutamol sulfate
Inhalers - SABA,bronchodilators,958,,ventolin easi-breathe 100microgram/actuation pressurised inhalation (allen & hanburys ltd),salbutamol sulfate
Inhalers - SABA,bronchodilators,1093,,salamol 100microgram/actuation inhalation powder (ivax pharmaceuticals uk ltd),salbutamol
Inhalers - SABA,bronchodilators,1628,,terbutaline 250micrograms/actuation refill canister,terbutaline sulphate
Inhalers - SABA,bronchodilators,1882,,ventodisks 200microgram/blister disc (allen & hanburys ltd),salbutamol sulphate
Inhalers - SABA,bronchodilators,1950,,ventodisks 400microgram/blister disc (allen & hanburys ltd),salbutamol sulphate
Inhalers - SABA,bronchodilators,2758,,bricanyl refill canister (astrazeneca uk ltd),terbutaline sulphate
Inhalers - SABA,bronchodilators,3163,,salbutamol 200micrograms disc,salbutamol sulphate
Inhalers - SABA,bronchodilators,3443,,salbutamol 100microgram/inhalation spacehaler (celltech pharma europe ltd),salbutamol
Inhalers - SABA,bronchodilators,4497,,ventolin accuhaler 200 200microgram/actuation inhalation powder (glaxo wellcome uk ltd),salbutamol
Inhalers - SABA,bronchodilators,5753,,salbutamol 400micrograms disc,salbutamol sulphate
Inhalers - SABA,bronchodilators,5889,,salamol 100microgram/inhalation inhalation powder (kent pharmaceuticals ltd),salbutamol sulfate
