Category,Medcode,Read V2 Code,Read Term
Stroke,93459,Fyu5600,[x]other lacunar syndromes
Stroke,1786,G60..00,subarachnoid haemorrhage
Stroke,29939,G600.00,ruptured berry aneurysm
Stroke,56007,G601.00,subarachnoid haemorrhage from carotid siphon and bifurcation
Stroke,19412,G602.00,subarachnoid haemorrhage from middle cerebral artery
Stroke,42331,G603.00,subarachnoid haemorrhage from anterior communicating artery
Stroke,9696,G604.00,subarachnoid haemorrhage from posterior communicating artery
Stroke,41910,G605.00,subarachnoid haemorrhage from basilar artery
Stroke,60692,G606.00,subarachnoid haemorrhage from vertebral artery
Stroke,17326,G60X.00,"subarachnoid haemorrh from intracranial artery, unspecif"
Stroke,23580,G60z.00,subarachnoid haemorrhage nos
Stroke,5051,G61..00,intracerebral haemorrhage
Stroke,6960,G61..11,cva - cerebrovascular accid due to intracerebral haemorrhage
Stroke,18604,G61..12,stroke due to intracerebral haemorrhage
Stroke,31595,G610.00,cortical haemorrhage
Stroke,40338,G611.00,internal capsule haemorrhage
Stroke,46316,G612.00,basal nucleus haemorrhage
Stroke,13564,G613.00,cerebellar haemorrhage
Stroke,7912,G614.00,pontine haemorrhage
Stroke,62342,G615.00,bulbar haemorrhage
Stroke,30045,G616.00,external capsule haemorrhage
Stroke,30202,G617.00,"intracerebral haemorrhage, intraventricular"
Stroke,57315,G618.00,"intracerebral haemorrhage, multiple localized"
Stroke,107440,G619.00,lobar cerebral haemorrhage
Stroke,31060,G61X.00,"intracerebral haemorrhage in hemisphere, unspecified"
Stroke,28314,G61X000,"left sided intracerebral haemorrhage, unspecified"
Stroke,19201,G61X100,"right sided intracerebral haemorrhage, unspecified"
Stroke,3535,G61z.00,intracerebral haemorrhage nos
Stroke,31805,G62..00,other and unspecified intracranial haemorrhage
Stroke,36178,G620.00,extradural haemorrhage - nontraumatic
Stroke,4273,G621.00,subdural haemorrhage - nontraumatic
Stroke,17734,G622.00,subdural haematoma - nontraumatic
Stroke,18912,G623.00,subdural haemorrhage nos
Stroke,20284,G62z.00,intracranial haemorrhage nos
Stroke,45781,G63..00,precerebral arterial occlusion
Stroke,57495,G63..11,infarction - precerebral
Stroke,32447,G630.00,basilar artery occlusion
Stroke,4240,G631.00,carotid artery occlusion
Stroke,4152,G631.12,"thrombosis, carotid artery"
Stroke,40847,G632.00,vertebral artery occlusion
Stroke,98642,G633.00,multiple and bilateral precerebral arterial occlusion
Stroke,51326,G63y.00,other precerebral artery occlusion
Stroke,23671,G63y000,cerebral infarct due to thrombosis of precerebral arteries
Stroke,24446,G63y100,cerebral infarction due to embolism of precerebral arteries
Stroke,71585,G63z.00,precerebral artery occlusion nos
Stroke,8837,G64..00,cerebral arterial occlusion
Stroke,5363,G64..11,cva - cerebral artery occlusion
Stroke,569,G64..12,infarction - cerebral
Stroke,6155,G64..13,stroke due to cerebral arterial occlusion
Stroke,16517,G640.00,cerebral thrombosis
Stroke,36717,G640000,cerebral infarction due to thrombosis of cerebral arteries
Stroke,15019,G641.00,cerebral embolism
Stroke,34758,G641.11,cerebral embolus
Stroke,27975,G641000,cerebral infarction due to embolism of cerebral arteries
Stroke,3149,G64z.00,cerebral infarction nos
Stroke,15252,G64z.11,brainstem infarction nos
Stroke,5602,G64z.12,cerebellar infarction
Stroke,25615,G64z000,brainstem infarction
Stroke,9985,G64z200,left sided cerebral infarction
Stroke,10504,G64z300,right sided cerebral infarction
Stroke,26424,G64z400,infarction of basal ganglia
Stroke,1469,G66..00,stroke and cerebrovascular accident unspecified
Stroke,1298,G66..11,cva unspecified
Stroke,6253,G66..12,stroke unspecified
Stroke,6116,G66..13,cva - cerebrovascular accident unspecified
Stroke,18689,G660.00,middle cerebral artery syndrome
Stroke,19280,G661.00,anterior cerebral artery syndrome
Stroke,19260,G662.00,posterior cerebral artery syndrome
Stroke,8443,G663.00,brain stem stroke syndrome
Stroke,17322,G664.00,cerebellar stroke syndrome
Stroke,33499,G665.00,pure motor lacunar syndrome
Stroke,51767,G666.00,pure sensory lacunar syndrome
Stroke,7780,G667.00,left sided cva
Stroke,12833,G668.00,right sided cva
Stroke,40053,G671.00,generalised ischaemic cerebrovascular disease nos
Stroke,70536,G671000,acute cerebrovascular insufficiency nos
Stroke,12555,G671z00,generalised ischaemic cerebrovascular disease nos
Stroke,39344,G676000,"cereb infarct due cerebral venous thrombosis, nonpyogenic"
Stroke,51759,G677000,occlusion and stenosis of middle cerebral artery
Stroke,57527,G677100,occlusion and stenosis of anterior cerebral artery
Stroke,65770,G677200,occlusion and stenosis of posterior cerebral artery
Stroke,55602,G677300,occlusion and stenosis of cerebellar arteries
Stroke,71274,G677400,occlusion+stenosis of multiple and bilat cerebral arteries
Stroke,98188,G679.00,small vessel cerebrovascular disease
Stroke,34117,G67y.00,other cerebrovascular disease os
Stroke,37493,G67z.00,other cerebrovascular disease nos
Stroke,40758,G6W..00,cereb infarct due unsp occlus/stenos precerebr arteries
Stroke,33543,G6X..00,cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Stroke,51311,G6y..00,other specified cerebrovascular disease
Stroke,10062,G6z..00,cerebrovascular disease nos
Stroke,73901,Gyu6.00,[x]cerebrovascular diseases
Stroke,108668,Gyu6000,[x]subarachnoid haemorrhage from other intracranial arteries
Stroke,65745,Gyu6100,[x]other subarachnoid haemorrhage
Stroke,53810,Gyu6200,[x]other intracerebral haemorrhage
Stroke,91627,Gyu6300,[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Stroke,53745,Gyu6400,[x]other cerebral infarction
Stroke,90572,Gyu6500,[x]occlusion and stenosis of other precerebral arteries
Stroke,92036,Gyu6600,[x]occlusion and stenosis of other cerebral arteries
Stroke,108630,Gyu6E00,"[x]subarachnoid haemorrh from intracranial artery, unspecif"
Stroke,96630,Gyu6F00,"[x]intracerebral haemorrhage in hemisphere, unspecified"
Stroke,94482,Gyu6G00,[x]cereb infarct due unsp occlus/stenos precerebr arteries
Stroke,47607,L440.11,cva - cerebrovascular accident in the puerperium
Stroke,56279,L440.12,stroke in the puerperium
